棋士番号,棋士名,段位,生年月日,四段昇段日,昇段時の年齢,昇段までの日数
184,中川大輔,八段,1968-07-13,1987-10-19,19歳3ヶ月6日,7037
185,先崎学,九段,1970-06-22,1987-10-19,17歳3ヶ月27日,6328
186,野田敬三,七段,1958-01-24,1988-04-01,30歳2ヶ月8日,11025
187,木下浩一,七段,1967-08-29,1988-04-01,20歳7ヶ月3日,7521
188,小倉久史,八段,1968-05-15,1988-10-01,20歳4ヶ月16日,7444
189,屋敷伸之,九段,1972-01-18,1988-10-01,16歳8ヶ月13日,6101
190,藤原直哉,七段,1965-05-27,1989-04-01,23歳10ヶ月5日,8710
191,高田尚平,七段,1962-06-21,1989-04-01,26歳9ヶ月11日,9781
192,畠山鎮,八段,1969-06-03,1989-10-01,20歳3ヶ月28日,7425
193,畠山成幸,八段,1969-06-03,1989-10-01,20歳3ヶ月28日,7425
194,丸山忠久,九段,1970-09-05,1990-04-01,19歳6ヶ月27日,7148
195,郷田真隆,九段,1971-03-17,1990-04-01,19歳0ヶ月15日,6955
196,佐藤秀司,八段,1967-06-08,1990-10-01,23歳3ヶ月23日,8516
197,杉本昌隆,八段,1968-11-13,1990-10-01,21歳10ヶ月18日,7992
198,藤井猛,九段,1970-09-29,1991-04-01,20歳6ヶ月3日,7489
199,平藤眞吾,七段,1963-10-15,1991-04-01,27歳5ヶ月17日,10030
200,豊川孝弘,七段,1967-02-20,1991-10-01,24歳7ヶ月11日,8989
201,深浦康市,九段,1972-02-14,1991-10-01,19歳7ヶ月17日,7169
202,真田圭一,八段,1972-10-06,1992-04-01,19歳5ヶ月26日,7117
203,飯塚祐紀,八段,1969-04-02,1992-04-01,22歳11ヶ月30日,8400
204,三浦弘行,九段,1974-02-13,1992-10-01,18歳7ヶ月18日,6805
205,伊藤能,七段,1962-01-16,1992-10-01,30歳8ヶ月15日,11216
206,川上猛,七段,1972-07-12,1993-04-01,20歳8ヶ月20日,7568
207,久保利明,九段,1975-08-27,1993-04-01,17歳7ヶ月5日,6427
208,行方尚史,九段,1973-12-30,1993-10-01,19歳9ヶ月1日,7215
209,岡崎洋,七段,1967-05-04,1993-10-01,26歳4ヶ月27日,9647
210,窪田義行,七段,1972-05-18,1994-04-01,21歳10ヶ月14日,7988
211,北浜健介,八段,1975-12-28,1994-04-01,18歳3ヶ月4日,6669
212,矢倉規広,七段,1974-09-27,1994-10-01,20歳0ヶ月4日,7309
213,鈴木大介,九段,1974-07-11,1994-10-01,20歳2ヶ月20日,7387
214,北島忠雄,七段,1966-01-04,1995-04-01,29歳2ヶ月28日,10679
215,勝又清和,七段,1969-03-21,1995-04-01,26歳0ヶ月11日,9507
216,松本佳介,七段,1971-12-17,1995-10-01,23歳9ヶ月14日,8689
217,田村康介,七段,1976-03-16,1995-10-01,19歳6ヶ月15日,7138
218,堀口一史座,八段,1975-02-28,1996-04-01,21歳1ヶ月4日,7703
219,中座真,八段,1970-02-03,1996-04-01,26歳1ヶ月29日,9554
220,近藤正和,七段,1971-05-31,1996-10-01,25歳4ヶ月0日,9255
221,野月浩貴,八段,1973-07-04,1996-10-01,23歳2ヶ月27日,8490
222,木村一基,九段,1973-06-23,1997-04-01,23歳9ヶ月9日,8683
223,小林裕士,八段,1976-09-29,1997-04-01,20歳6ヶ月3日,7489
224,佐藤紳哉,七段,1977-08-29,1997-10-01,20歳1ヶ月2日,7338
