the,match,phase,detail,notes,game_date,A,player_A,a,b,player_B,B,others
76,NHK杯,本戦トーナメント,2回戦,第4局,2026-07-30,☖,千田翔太,★,☆,吉池隆真,☗,2026-08-30
12,叡王戦,九段戦予選,2回戦,Aブロック,2026-08-28,☗,豊島将之,☆,★,山崎隆之,☖,
75,王座戦,一次予選,2回戦,イ組,2026-08-28,☗,遠山雄亮,☆,★,真田圭一,☖,
75,王座戦,一次予選,2回戦,ロ組,2026-08-28,☖,井出隼平,★,☆,田中悠一,☗,
75,王座戦,一次予選,1回戦,ニ組,2026-08-28,☖,瀬川晶司,☆,★,高橋道雄,☗,
75,王座戦,一次予選,1回戦,ヘ組,2026-08-28,☗,牧野光則,☆,★,柵木幹太,☖,
4,達人戦,予選,3組,2回戦,2026-08-28,☖,久保利明,☆,★,神崎健二,☗,
85,順位戦,C級2組,4回戦,,2026-08-27,☖,宮嶋健太,★,☆,小山怜央,☗,
85,順位戦,C級2組,4回戦,,2026-08-27,☖,八代弥,☆,★,上村亘,☗,
85,順位戦,C級2組,4回戦,,2026-08-27,☗,狩山幹生,☆,★,今泉健司,☖,
85,順位戦,C級2組,4回戦,,2026-08-27,☗,杉本和陽,☆,★,西川和宏,☖,
85,順位戦,C級2組,4回戦,,2026-08-27,☖,梶浦宏孝,☆,★,北島忠雄,☗,
85,順位戦,C級2組,4回戦,,2026-08-27,☗,谷合廣紀,★,☆,折田翔吾,☖,
85,順位戦,C級2組,4回戦,,2026-08-27,☗,長谷部浩平,★,☆,千葉幸生,☖,
85,順位戦,C級2組,4回戦,,2026-08-27,☖,徳田拳士,★,☆,岩村凛太朗,☗,
85,順位戦,C級2組,4回戦,,2026-08-27,☖,山川泰熙,☆,★,獺ヶ口笑保人,☗,
85,順位戦,C級2組,4回戦,,2026-08-27,☗,吉池隆真,☆,★,森本才跳,☖,
85,順位戦,C級2組,4回戦,,2026-08-27,☗,石田直裕,☆,★,川村悠人,☖,
85,順位戦,C級2組,4回戦,,2026-08-27,☗,佐藤紳哉,☆,★,田村康介,☖,
85,順位戦,C級2組,4回戦,,2026-08-27,☗,小山直希,★,☆,中村亮介,☖,
85,順位戦,C級2組,4回戦,,2026-08-27,☖,高橋佑二郎,★,☆,阪口悟,☗,
85,順位戦,C級2組,4回戦,,2026-08-27,☗,炭崎俊毅,☆,★,藤森哲也,☖,
85,順位戦,C級2組,4回戦,,2026-08-27,☖,村中秀史,★,☆,阿部光瑠,☗,
85,順位戦,C級2組,4回戦,,2026-08-27,☖,本田奎,★,☆,小窪碧,☗,
85,順位戦,C級2組,4回戦,,2026-08-27,☗,横山友紀,★,☆,生垣寛人,☖,
67,王位戦,七番勝負,第5局,,2026-08-27,☗,藤井聡太,☆,★,伊藤匠,☖,2026
76,王将戦,挑戦者決定リーグ戦,1回戦,,2026-08-27,☗,永瀬拓矢,☆,★,藤本渚,☖,
85,順位戦,B級2組,4回戦,,2026-08-26,☗,青嶋未来,☆,★,高見泰地,☖,千日手
85,順位戦,B級2組,4回戦,,2026-08-26,☗,石井健太郎,☆,★,谷川浩司,☖,
85,順位戦,B級2組,4回戦,,2026-08-26,☖,羽生善治,☆,★,渡辺和史,☗,
85,順位戦,B級2組,4回戦,,2026-08-26,☗,村山慈明,★,☆,郷田真隆,☖,
85,順位戦,B級2組,4回戦,,2026-08-26,☖,丸山忠久,★,☆,行方尚史,☗,
85,順位戦,B級2組,4回戦,,2026-08-26,☖,古賀悠聖,☆,★,佐々木慎,☗,
85,順位戦,B級2組,4回戦,,2026-08-26,☖,斎藤明日斗,☆,★,岡部怜央,☗,
85,順位戦,B級2組,4回戦,,2026-08-26,☖,阿久津主税,★,☆,松尾歩,☗,
85,順位戦,B級2組,4回戦,,2026-08-26,☗,戸辺誠,☆,★,屋敷伸之,☖,
85,順位戦,B級2組,4回戦,,2026-08-26,☖,深浦康市,★,☆,三浦弘行,☗,
85,順位戦,B級2組,4回戦,,2026-08-26,☖,及川拓馬,★,☆,木村一基,☗,
85,順位戦,B級2組,4回戦,,2026-08-26,☗,都成竜馬,☆,★,佐藤和俊,☖,
85,順位戦,B級2組,4回戦,,2026-08-26,☖,西田拓也,★,☆,北浜健介,☗,
75,王座戦,一次予選,1回戦,ロ組,2026-08-26,☗,伊藤沙恵,★,☆,堀口一史座,☖,
85,順位戦,C級1組,4回戦,,2026-08-25,☗,藤井猛,☆,★,阿部隆,☖,
85,順位戦,C級1組,4回戦,,2026-08-25,☖,鈴木大介,★,☆,黒田尭之,☗,
85,順位戦,C級1組,4回戦,,2026-08-25,☖,杉本昌隆,★,☆,村田顕弘,☗,
85,順位戦,C級1組,4回戦,,2026-08-25,☗,冨田誠也,★,☆,宮田敦史,☖,
85,順位戦,C級1組,4回戦,,2026-08-25,☗,三枚堂達也,☆,★,宮本広志,☖,
85,順位戦,C級1組,4回戦,,2026-08-25,☗,高田明浩,★,☆,古森悠太,☖,
85,順位戦,C級1組,4回戦,,2026-08-25,☖,飯塚祐紀,☆,★,佐々木大地,☗,
85,順位戦,C級1組,4回戦,,2026-08-25,☖,池永天志,☆,★,高崎一生,☗,
85,順位戦,C級1組,4回戦,,2026-08-25,☖,出口若武,☆,★,門倉啓太,☗,
85,順位戦,C級1組,4回戦,,2026-08-25,☖,上野裕寿,☆,★,飯島栄治,☗,
85,順位戦,C級1組,4回戦,,2026-08-25,☖,片上大輔,☆,★,西尾明,☗,
85,順位戦,C級1組,4回戦,,2026-08-25,☖,野月浩貴,☆,★,黒沢怜生,☗,
85,順位戦,C級1組,4回戦,,2026-08-25,☗,先崎学,★,☆,中川大輔,☖,
85,順位戦,C級1組,4回戦,,2026-08-25,☖,船江恒平,☆,★,畠山鎮,☗,
85,順位戦,C級1組,4回戦,,2026-08-25,☗,阿部健治郎,★,☆,井上慶太,☖,
39,竜王戦,挑戦者決定戦,三番勝負,第3局,2026-08-24,☖,柵木幹太,★,☆,服部慎一郎,☗,
75,王座戦,一次予選,1回戦,イ組,2026-08-24,☖,片山史龍,☆,★,島朗,☗,
75,王座戦,一次予選,1回戦,ロ組,2026-08-24,☗,豊川孝弘,★,☆,勝又清和,☖,
76,NHK杯,本戦トーナメント,2回戦,第3局,2026-07-23,☖,古賀悠聖,☆,★,佐藤天彦,☗,2026-08-23
47,JT杯,トーナメント,2回戦,第2局,2026-08-22,☗,佐々木勇気,☆,★,近藤誠也,☖,北陸・信越大会
39,竜王戦,5組,昇級者決定戦,4回戦,2026-08-21,☖,宮田敦史,★,☆,谷合廣紀,☗,
12,叡王戦,七段戦予選,1回戦,Aブロック,2026-08-21,☖,阿部健治郎,★,☆,佐藤和俊,☗,
12,叡王戦,七段戦予選,2回戦,Aブロック,2026-08-21,☖,佐藤和俊,★,☆,梶浦宏孝,☗,
12,叡王戦,四段戦予選,1回戦,A組,2026-08-21,☗,川村悠人,☆,★,古井丈大,☖,
12,叡王戦,四段戦予選,2回戦,A組,2026-08-21,☖,川村悠人,★,☆,高橋佑二郎,☗,
75,王座戦,一次予選,2回戦,ホ組,2026-08-21,☖,炭崎俊毅,★,☆,石川優太,☗,
75,王座戦,一次予選,1回戦,ヘ組,2026-08-21,☗,竹内雄悟,☆,★,矢倉規広,☖,
98,棋聖戦,一次予選,ロ組,準決勝,2026-08-21,☖,石田直裕,★,☆,吉池隆真,☗,
98,棋聖戦,一次予選,ロ組,準決勝,2026-08-21,☗,小山直希,☆,★,佐藤慎一,☖,
98,棋聖戦,一次予選,ロ組,決勝,2026-08-21,☗,吉池隆真,★,☆,小山直希,☖,
98,棋聖戦,一次予選,ト組,準決勝,2026-08-21,☗,井田明宏,★,☆,森本才跳,☖,
98,棋聖戦,一次予選,ト組,準決勝,2026-08-21,☖,齊藤裕也,★,☆,柵木幹太,☗,
98,棋聖戦,一次予選,ト組,決勝,2026-08-21,☖,森本才跳,★,☆,柵木幹太,☗,
76,王将戦,挑戦者決定リーグ戦,1回戦,,2026-08-21,☗,伊藤匠,☆,★,西田拓也,☖,
85,順位戦,B級1組,4回戦,,2026-08-20,☗,中村太地,☆,★,稲葉陽,☖,
85,順位戦,B級1組,4回戦,,2026-08-20,☖,渡辺明,☆,★,斎藤慎太郎,☗,
85,順位戦,B級1組,4回戦,,2026-08-20,☗,大橋貴洸,☆,★,山崎隆之,☖,
85,順位戦,B級1組,4回戦,,2026-08-20,☗,服部慎一郎,☆,★,菅井竜也,☖,
85,順位戦,B級1組,4回戦,,2026-08-20,☖,澤田真吾,★,☆,藤本渚,☗,
85,順位戦,B級1組,4回戦,,2026-08-20,☗,佐藤康光,★,☆,久保利明,☖,
12,叡王戦,七段戦予選,1回戦,Aブロック,2026-08-20,☗,豊川孝弘,★,☆,窪田義行,☖,
12,叡王戦,七段戦予選,2回戦,Aブロック,2026-08-20,☖,窪田義行,★,☆,佐藤紳哉,☗,
75,王座戦,一次予選,1回戦,ニ組,2026-08-20,☗,上村亘,☆,★,松本佳介,☖,
75,王座戦,一次予選,1回戦,ホ組,2026-08-20,☖,山本真也,★,☆,安用寺孝功,☗,
75,王座戦,一次予選,2回戦,ホ組,2026-08-20,☗,杉本昌隆,★,☆,宮本広志,☖,
75,王座戦,一次予選,2回戦,ホ組,2026-08-20,☖,井上慶太,★,☆,折田翔吾,☗,
98,棋聖戦,一次予選,イ組,準決勝,2026-08-20,☗,飯島栄治,★,☆,小窪碧,☖,
98,棋聖戦,一次予選,イ組,準決勝,2026-08-20,☗,阿部光瑠,☆,★,瀬川晶司,☖,
98,棋聖戦,一次予選,イ組,決勝,2026-08-20,☗,小窪碧,☆,★,阿部光瑠,☖,
98,棋聖戦,一次予選,ハ組,準決勝,2026-08-20,☖,齊藤優希,☆,★,村中秀史,☗,
98,棋聖戦,一次予選,ハ組,決勝,2026-08-20,☖,齊藤優希,☆,★,山川泰熙,☗,
52,棋王戦,挑戦者決定トーナメント,3回戦,,2026-08-20,☖,斎藤明日斗,★,☆,古賀悠聖,☗,
76,王将戦,挑戦者決定リーグ戦,1回戦,,2026-08-20,☗,郷田真隆,☆,★,本田奎,☖,
