女流棋士番号,女流棋士名,所属,生年月日,女流３級,女流２級,女流１級,女流初段,女流二段,女流三段,女流四段,女流五段,女流六段,女流七段,引退日,逝去日,データベース
1,関根紀代子,JSA,1940-12-15,,,,,1974-10-31,1980-02-08,1988-11-17,2009-03-18,2011-09-08,,2011-08-31,,https://www.shogi.or.jp/player/lady/1.html
2,谷川治恵,JSA,1954-02-09,,,1976-09-23,1978-09-10,1981-03-19,1989-05-22,2000-06-28,2011-04-01,,,2002-04-30,,https://www.shogi.or.jp/player/lady/2.html
3,森安多恵子,JSA,1948-05-05,,,1976-09-23,,1976-11-26,1989-05-22,2012-04-01,,,,2012-03-31,2020-08-02,https://www.shogi.or.jp/player/lady/3.html
4,宇治正子,JSA,1948-01-31,,1978-05-27,1980-02-26,1989-03-15,2000-04-01,2006-04-01,,,,,2004-12-31,,
5,長沢千和子,JSA,1964-06-18,,1979-08-01,,1980-02-26,1984-04-07,1989-05-22,2000-04-01,2024-11-11,,,,,https://www.shogi.or.jp/player/lady/5.html
6,山田久美,JSA,1967-01-06,,1982-04-20,,1983-04-01,1990-02-28,2000-04-01,2014-09-29,,,,,,https://www.shogi.or.jp/player/lady/6.html
7,清水市代,JSA,1969-01-09,,1985-04-01,,1986-01-17,1987-09-21,1988-02-08,1992-04-01,1995-04-01,2000-10-01,2020-04-01,,,https://www.shogi.or.jp/player/lady/7.html
8,高群佐知子,JSA,1971-04-01,1986-03-01,,,1987-04-01,1994-03-22,2000-06-30,2018-01-21,,,,2020-03-31,,https://www.shogi.or.jp/player/lady/8.html
9,斎田晴子,JSA,1966-12-04,1986-04-01,,1987-04-01,1988-04-01,1991-03-20,1995-04-01,2001-02-27,2011-06-09,,,2025-07-07,,https://www.shogi.or.jp/player/lady/9.html
10,石高澄恵,JSA,1966-09-27,1987-03-01,,1989-03-01,1992-02-26,2000-04-01,2025-04-10,,,,,,,https://www.shogi.or.jp/player/lady/10.html
11,植村真理,JSA,1969-03-16,1988-03-01,,1989-04-01,1990-04-01,1991-04-01,2003-05-21,,,,,2015-03-31,,https://www.shogi.or.jp/player/lady/11.html
12,真田彩子,JSA,1972-08-13,,1991-03-01,1992-04-01,1997-05-29,2003-04-09,2021-04-01,,,,,2020-03-31,,https://www.shogi.or.jp/player/lady/12.html
13,高橋和,JSA,1976-06-17,,1991-03-01,1992-04-01,1994-04-01,2000-04-01,2006-04-01,,,,,2005-02-09,,https://www.shogi.or.jp/player/lady/13.html
14,本田小百合,JSA,1978-10-03,,1992-04-01,1993-04-01,1999-04-01,2004-05-19,2012-09-26,2025-05-10,,,,,,https://www.shogi.or.jp/player/lady/14.html
15,久津知子,JSA,1972-11-23,,1992-10-01,1994-04-01,2001-04-01,2016-06-29,2023-04-01,,,,,2018-03-31,,https://www.shogi.or.jp/player/lady/15.html
16,矢内理絵子,JSA,1980-01-10,,1993-04-01,1995-04-01,1995-07-10,1997-04-01,1997-10-27,2004-08-03,2014-02-21,,,,,https://www.shogi.or.jp/player/lady/16.html
17,千葉涼子,JSA,1980-04-21,,1994-10-01,1996-04-01,1996-10-21,1998-10-16,2002-04-25,2011-04-21,2026-02-20,,,,,https://www.shogi.or.jp/player/lady/17.html
