女流棋士番号,女流棋士名,生年月日,女流３級,女流２級,女流１級,女流初段,女流二段,女流三段,女流四段,女流五段,女流六段,女流七段,引退日,没年月日,URL
1,関根紀代子,1940-12-15,,,,,1974-10-31,1980-02-08,1988-11-17,2009-03-18,2011-09-08,,2011-08-31,,https://www.shogi.or.jp/player/lady/1.html
2,谷川治恵,1954-02-09,,,1976-09-23,1978-09-10,1981-03-19,1989-05-22,2000-06-28,2011-04-01,,,2002-04-30,,https://www.shogi.or.jp/player/lady/2.html
3,森安多恵子,1948-05-05,,,,,1976-11-26,1989-05-22,2012-04-01,,,,2012-03-31,2020-08-02,https://www.shogi.or.jp/player/lady/3.html
4,宇治正子,1948-01-31,,1978-05-27,1980-02-26,1989-03-15,2000-04-01,2006-04-01,,,,,2004-12-31,,
5,長沢千和子,1964-06-18,,1979-08-01,,1980-02-26,1984-04-07,1989-05-22,2000-04-01,2024-11-11,,,,,https://www.shogi.or.jp/player/lady/5.html
6,山田久美,1967-01-06,,1982-04-20,,1983-04-01,1990-02-28,2000-04-01,2014-09-29,,,,,,https://www.shogi.or.jp/player/lady/6.html
7,清水市代,1969-01-09,,1985-04-01,,1986-01-17,1987-09-21,1988-02-08,1992-04-01,1995-04-01,2000-10-01,2020-04-01,,,https://www.shogi.or.jp/player/lady/7.html
8,高群佐知子,1971-04-01,1986-03-01,,,1987-04-01,1994-03-22,2000-06-30,2018-01-21,,,,,2020-03-31,https://www.shogi.or.jp/player/lady/8.html
9,斎田晴子,1966-12-04,1986-04-01,,1987-04-01,1988-04-01,1991-03-20,1995-04-01,2001-02-27,2011-06-09,,,2025-07-07,,https://www.shogi.or.jp/player/lady/9.html
10,石高澄恵,1966-09-27,1987-03-01,,1989-03-01,1992-02-26,2000-04-01,2025-04-10,,,,,,,https://www.shogi.or.jp/player/lady/10.html
11,植村真理,1969-03-16,,,,,,,2003-05-21,,,,,2015-03-31,https://www.shogi.or.jp/player/lady/11.html
12,真田彩子,1972-08-13,,1991-03-01,1992-04-01,1997-05-29,2003-04-09,2021-04-01,,,,,2020-03-31,,https://www.shogi.or.jp/player/lady/12.html
13,高橋和,1976-06-17,,1991-03-01,1992-04-01,1994-04-01,2000-04-01,2006-04-01,,,,,,2005-02-09,https://www.shogi.or.jp/player/lady/13.html
14,本田小百合,1978-10-03,,1992-04-01,1993-04-01,1999-04-01,2004-05-19,2012-09-26,2025-05-10,,,,,,https://www.shogi.or.jp/player/lady/14.html
15,久津知子,1972-11-23,,1992-10-01,1994-04-01,2001-04-01,2016-06-29,2023-04-01,,,,,2018-03-31,,https://www.shogi.or.jp/player/lady/15.html
16,矢内理絵子,1980-01-10,,1993-04-01,1995-04-01,1995-07-10,1997-04-01,1997-10-27,2004-08-03,2014-02-21,,,,,https://www.shogi.or.jp/player/lady/16.html
17,千葉涼子,1980-04-21,,1994-10-01,1996-04-01,1996-10-21,1998-10-16,2002-04-25,2011-04-21,,,,,,https://www.shogi.or.jp/player/lady/17.html
18,伊藤明日香,1982-03-16,,1995-04-01,2005-04-01,2009-04-01,,,,,,,2009-03-31,,https://www.shogi.or.jp/player/lady/18.html
19,竹部さゆり,1978-06-04,,1995-10-01,1996-04-01,1996-10-19,1997-04-01,2003-05-20,2019-01-16,,,,,,https://www.shogi.or.jp/player/lady/19.html
20,早水千紗,1982-07-20,,1996-10-01,1997-10-01,2000-04-01,2005-06-21,2012-12-07,,,,,,,https://www.shogi.or.jp/player/lady/20.html
21,甲斐智美,1983-05-30,,1997-04-01,1998-04-01,2003-09-01,2006-09-18,2010-04-19,2011-06-29,2014-11-23,,,,2023-07-03,https://www.shogi.or.jp/player/lady/21.html
22,安食総子,1974-05-02,,1998-04-01,2002-04-01,2003-04-01,2023-04-01,,,,,,,2022-07-11,https://www.shogi.or.jp/player/lady/22.html
23,藤田綾,1987-03-24,,1998-10-01,2000-04-01,2001-04-01,2016-08-13,,,,,,,,https://www.shogi.or.jp/player/lady/23.html
24,野田澤彩乃,1984-01-25,,1999-10-01,2003-04-01,2020-04-01,,,,,,,2020-03-31,,https://www.shogi.or.jp/player/lady/24.html
25,山田朱未,1980-05-18,,2000-04-01,2001-04-01,2003-04-01,2009-03-05,,,,,,,,https://www.shogi.or.jp/player/lady/25.html
26,上田初美,1988-11-16,,2001-04-01,2002-04-01,2003-04-01,2008-06-30,2011-05-10,2018-05-21,2025-10-02,,,,,https://www.shogi.or.jp/player/lady/26.html
27,坂東香菜子,1986-03-31,,2001-10-01,,2014-04-01,,,,,,,,2014-03-31,https://www.shogi.or.jp/player/lady/27.html
28,村田智穂,1984-05-01,,2002-04-01,2003-04-01,2004-04-01,2011-02-10,2024-09-13,,,,,,,https://www.shogi.or.jp/player/lady/28.html
29,鈴木環那,1987-11-05,,2002-10-01,2004-04-01,2006-04-01,2012-05-10,2020-09-22,,,,,,,https://www.shogi.or.jp/player/lady/29.html
30,中村真梨花,1987-05-20,,2003-04-01,2004-04-01,2005-04-01,2009-02-25,2015-05-04,2023-05-13,,,,,,https://www.shogi.or.jp/player/lady/30.html
31,貞升南,1986-04-19,,2003-10-01,2007-04-01,2013-04-01,2021-01-19,,,,,,,,https://www.shogi.or.jp/player/lady/31.html
32,岩根忍,1981-03-16,,,2004-04-01,2005-04-01,2009-03-09,2016-02-22,,,,,,,https://www.shogi.or.jp/player/lady/32.html
33,福間香奈,1992-03-02,,2004-10-01,2006-04-01,2007-02-22,2008-09-29,2009-04-01,2010-02-10,2011-10-18,2020-04-01,,,,https://www.shogi.or.jp/player/lady/33.html
34,井道千尋,1988-05-21,,2005-04-01,2006-04-01,2008-12-03,2017-06-28,,,,,,,,https://www.shogi.or.jp/player/lady/34.html
35,室田伊緒,1989-05-24,,2005-10-01,2006-04-01,2008-04-01,2014-09-10,2024-07-13,,,,,,,https://www.shogi.or.jp/player/lady/35.html
36,伊奈川愛菓,1991-03-29,,2006-10-01,2008-04-01,2013-07-12,2021-04-06,,,,,,,,https://www.shogi.or.jp/player/lady/36.html
37,宮宗紫野,1988-04-23,,2007-04-01,2008-04-01,2009-04-01,2018-07-07,,,,,,,,https://www.shogi.or.jp/player/lady/37.html
38,中村桃子,1987-11-30,,2007-10-01,2009-03-30,2013-03-14,2021-08-02,,,,,,,2024-07-09,https://www.shogi.or.jp/player/lady/38.html
39,山口恵梨子,1991-10-12,,2008-04-01,2009-03-25,2010-04-01,2016-05-25,2024-01-31,,,,,,,https://www.shogi.or.jp/player/lady/39.html
40,香川愛生,1993-04-16,,2008-10-01,2009-07-25,2012-11-28,2013-08-29,2013-10-23,2021-01-21,,,,,,https://www.shogi.or.jp/player/lady/40.html
41,渡辺弥生,1979-09-02,,2009-04-01,2011-03-03,2013-08-02,2023-03-20,,,,,,,,https://www.shogi.or.jp/player/lady/41.html
42,室谷由紀,1993-03-06,2009-10-01,2010-07-17,2010-07-17,2011-04-01,2015-08-25,2019-12-27,,,,,,,https://www.shogi.or.jp/player/lady/42.html
43,北尾まどか,1980-01-21,,2000-10-01,2001-04-01,2003-04-01,2013-08-17,,,,,,,2023-07-10,https://www.shogi.or.jp/player/lady/43.html
