免状授与日,氏名,允許段位,備考,URL
2025-11-23,才木浩人,初段,阪神タイガース投手,
2025-10-17,藤木直人,初段,『MISS KING』出演俳優,https://www.shogi.or.jp/news/2025/10/post_2570.html
2022-05-16,吉川俊雄,三段,横浜冷凍株式会社代表取締役会長,
2022-05-16,松原弘幸,二段,横浜冷凍株式会社代表取締役社長,
2022-05-16,井上祐司,初段,横浜冷凍株式会社副社長,
2021-12-12,平田良介,初段,中日ドラゴンズ外野手,
2020-10-04,平井卓也,五段,国務大臣,
2019-05-26,平井卓也,三段,内閣府特命担当大臣,
2019-04-18,永山絢斗,初段,『泣き虫しょったんの奇跡』出演俳優,
2018-12-14,櫻田義孝,五段,東京オリンピック・パラリンピック担当大臣,
2018-09-08,松田龍平,初段,『泣き虫しょったんの奇跡』主演俳優,
2018-03-18,伊藤かりん,初段,乃木坂４６,https://www.shogi.or.jp/news/2018/03/post_1662.html
2018-01-11,木村草太,三段,憲法学者,
2017-05-11,袴田巌,初段,冤罪被害者,
2016-11-19,松山ケンイチ,初段,『聖の青春』主演俳優,
2016-11-19,東出昌大,初段,『聖の青春』出演俳優,
2016-09-24,神木隆之介,初段,『3月のライオン』主演俳優,
2014-09-24,くまモン,初段,ゆるキャラ,
2014-02-17,菅義偉,五段,内閣官房長官,
2013-10-20,宮島雅展,三段,甲府市長,
2013-05-30,大村秀章,四段,愛知県知事,
2013-05-13,下村博文,五段,文部科学大臣,
2012-12-04,瀬戸康弘,初段,サッカー元日本代表,
2012-08-23,上瀧和則,三段,日本モーターボート選手会会長,
2012-06-18,平野博文,五段,文部科学大臣,
2012-05-29,つるの剛士,三段,将棋フォーカス出演者,
2011-06-13,井原巧,二段,四国中央市長,
2011-06-06,高木義明,五段,文部科学大臣,
2010-05-21,川端達夫,五段,文部科学大臣,
2010-05-21,原口一博,五段,総務大臣,
2010-05-18,北橋健治,三段,北九州市長,
2009-05-12,河村建夫,五段,内閣官房長官,
2009-05-12,塩谷立,五段,文部科学大臣,
2007-01-25,井川慶,初段,阪神タイガース投手,
2004-11-27,古田敦也,三段,ヤクルトスワローズ捕手,
