年,順位,棋士名,段位・称号,金額（万円）,賞金・対局料
2024,1,藤井聡太,竜王・名人,"17,556","1億7,556万円"
2024,2,伊藤匠,叡王,"4,364","4,364万円"
2024,3,永瀬拓矢,九段,"3,026","3,026万円"
2024,4,佐々木勇気,八段,"2,900","2,900万円"
2024,5,渡辺明,九段,"2,594","2,594万円"
2024,6,広瀬章人,九段,"2,461","2,461万円"
2024,7,豊島将之,九段,"2,348","2,348万円"
2024,8,山崎隆之,八段,"2,124","2,124万円"
2024,9,菅井竜也,八段,"1,648","1,648万円"
2024,10,羽生善治,九段,"1,622","1,622万円"
2023,1,藤井聡太,竜王・名人,"18,634","1億8,634万円"
2023,2,渡辺明,九段,"4,562","4,562万円"
2023,3,永瀬拓矢,九段,"3,509","3,509万円"
2023,4,広瀬章人,九段,"3,066","3,066万円"
2023,5,羽生善治,九段,"2,604","2,604万円"
2023,6,豊島将之,九段,"2,223","2,223万円"
2023,7,菅井竜也,八段,"1,959","1,959万円"
2023,8,佐々木大地,七段,"1,881","1,881万円"
2023,9,稲葉陽,八段,"1,781","1,781万円"
2023,10,伊藤匠,七段,"1,728","1,728万円"
2022,1,藤井聡太,竜王,"12,205","1億2,205万円"
2022,2,渡辺明,名人,"7,063","7,063万円"
2022,3,豊島将之,九段,"5,071","5,071万円"
2022,4,永瀬拓矢,王座,"4,668","4,668万円"
2022,5,斎藤慎太郎,八段,"2,362","2,362万円"
2022,6,広瀬章人,八段,"2,166","2,166万円"
2022,7,菅井竜也,八段,"1,970","1,970万円"
2022,8,佐藤天彦,九段,"1,819","1,819万円"
2022,9,山崎隆之,八段,"1,770","1,770万円"
2022,10,稲葉陽,八段,"1,580","1,580万円"
2021,1,渡辺明,名人,"8,194","8,194万円"
2021,2,豊島将之,九段,"8,145","8,145万円"
2021,3,藤井聡太,竜王,"6,996","6,996万円"
2021,4,永瀬拓矢,王座,"4,821","4,821万円"
2021,5,羽生善治,九段,"3,236","3,236万円"
2021,6,斎藤慎太郎,八段,"2,567","2,567万円"
2021,7,木村一基,九段,"2,245","2,245万円"
2021,8,糸谷哲郎,八段,"1,876","1,876万円"
2021,9,稲葉陽,八段,"1,703","1,703万円"
2021,10,菅井竜也,八段,"1,674","1,674万円"
2021,12,山崎隆之,八段,"1,498","1,498万円"
2021,13,佐藤天彦,九段,"1,479","1,479万円"
2021,14,広瀬章人,八段,"1,392","1,392万円"
2020,1,豊島将之,竜王,"10,645",1億645万円
2020,2,渡辺明,名人,"8,043","8,043万円"
2020,3,永瀬拓矢,王座,"4,621","4,621万円"
2020,4,藤井聡太,王位・棋聖,"4,554","4,554万円"
2020,5,広瀬章人,八段,"3,241","3,241万円"
2020,6,羽生善治,九段,"2,491","2,491万円"
2020,7,久保利明,九段,"2,421","2,421万円"
2020,8,木村一基,九段,"2,338","2,338万円"
2020,9,丸山忠久,九段,"1,926","1,926万円"
2020,10,千田翔太,七段,"1,692","1,692万円"
2020,11,糸谷哲郎,八段,"1,502","1,502万円"
2020,13,菅井竜也,八段,"1,445","1,445万円"
2020,14,稲葉陽,八段,"1,395","1,395万円"
2020,16,斎藤慎太郎,八段,"1,338","1,338万円"
2019,1,豊島将之,竜王・名人,"7,157","7,157万円"
2019,2,広瀬章人,八段,"6,984","6,984万円"
2019,3,渡辺明,棋王・王将・棋聖,"6,514","6,514万円"
2019,4,永瀬拓矢,叡王・王座,"4,678","4,678万円"
2019,5,羽生善治,九段,"3,999","3,999万円"
2019,6,佐藤天彦,九段,"3,687","3,687万円"
2019,7,木村一基,王位,"3,209","3,209万円"
2019,8,久保利明,九段,"2,178","2,178万円"
2019,9,藤井聡太,七段,"2,108","2,108万円"
2019,10,斎藤慎太郎,七段,"1,868","1,868万円"
2019,21,千田翔太,七段,"1,080","1,080万円"
2019,24,丸山忠久,九段,"1,017","1,017万円"
2018,1,羽生善治,九段,"7,552","7,552万円"
2018,2,佐藤天彦,名人,"5,999","5,999万円"
2018,3,渡辺明,棋王,"5,119","5,119万円"
2018,4,豊島将之,王位・棋聖,"4,722","4,722万円"
2018,5,広瀬章人,竜王,"2,802","2,802万円"
2018,6,高見泰地,叡王,"2,636","2,636万円"
2018,7,久保利明,王将,"2,598","2,598万円"
2018,8,斎藤慎太郎,王座,"2,393","2,393万円"
2018,9,菅井竜也,七段,"2,193","2,193万円"
2018,10,深浦康市,九段,"2,189","2,189万円"
2018,12,藤井聡太,七段,"2,031","2,031万円"
2018,18,永瀬拓矢,叡王・王座,"1,382","1,382万円"
2018,27,木村一基,王位,"1,057","1,057万円"
2017,1,渡辺明,棋王,"7,534","7,534万円"
2017,2,佐藤天彦,名人,"7,255","7,255万円"
2017,3,羽生善治,竜王,"5,070","5,070万円"
2017,4,久保利明,王将,"3,019","3,019万円"
2017,5,丸山忠久,九段,"2,908","2,908万円"
2017,6,稲葉陽,八段,"2,801","2,801万円"
2017,7,菅井竜也,王位,"2,363","2,363万円"
2017,8,中村太地,王座,"2,144","2,144万円"
2017,9,松尾歩,八段,"1,985","1,985万円"
2017,10,佐藤康光,九段,"1,967","1,967万円"
2017,12,豊島将之,王位・棋聖,"1,795","1,795万円"
2017,13,斎藤慎太郎,王座,"1,699","1,699万円"
2017,18,広瀬章人,竜王,"1,499","1,499万円"
2017,19,深浦康市,九段,"1,359","1,359万円"
2017,63,高見泰地,叡王,522,522万円
