西暦,順位,棋士名,金額,段位・称号
2025,1,藤井聡太,"21,361",六冠
2025,2,永瀬拓矢,"4,577",九段
2025,3,佐々木勇気,"4,133",八段
2025,4,伊藤匠,"4,087",二冠
2025,5,近藤誠也,"2,388",八段
2025,6,豊島将之,"1,761",九段
2025,7,増田康宏,"1,719",八段
2025,8,斎藤慎太郎,"1,708",八段
2025,9,羽生善治,"1,503",九段
2025,10,石田直裕,"1,427",六段
2024,1,藤井聡太,"17,556",七冠
2024,2,伊藤匠,"4,364",叡王
2024,3,永瀬拓矢,"3,026",九段
2024,4,佐々木勇気,"2,900",八段
2024,5,渡辺明,"2,594",九段
2024,6,広瀬章人,"2,461",九段
2024,7,豊島将之,"2,348",九段
2024,8,山崎隆之,"2,124",八段
2024,9,菅井竜也,"1,648",八段
2024,10,羽生善治,"1,622",九段
2023,1,藤井聡太,"18,634",八冠
2023,2,渡辺明,"4,562",九段
2023,3,永瀬拓矢,"3,509",九段
2023,4,広瀬章人,"3,066",九段
2023,5,羽生善治,"2,604",九段
2023,6,豊島将之,"2,223",九段
2023,7,菅井竜也,"1,959",八段
2023,8,佐々木大地,"1,881",七段
2023,9,稲葉陽,"1,781",八段
2023,10,伊藤匠,"1,728",七段
2022,1,藤井聡太,"12,205",竜王
2022,2,渡辺明,"7,063",名人
2022,3,豊島将之,"5,071",九段
2022,4,永瀬拓矢,"4,668",王座
2022,5,斎藤慎太郎,"2,362",八段
2022,6,広瀬章人,"2,166",八段
2022,7,菅井竜也,"1,970",八段
2022,8,佐藤天彦,"1,819",九段
2022,9,山崎隆之,"1,770",八段
2022,10,稲葉陽,"1,580",八段
2021,1,渡辺明,"8,194",名人
2021,2,豊島将之,"8,145",九段
2021,3,藤井聡太,"6,996",竜王
2021,4,永瀬拓矢,"4,821",王座
2021,5,羽生善治,"3,236",九段
2021,6,斎藤慎太郎,"2,567",八段
2021,7,木村一基,"2,245",九段
2021,8,糸谷哲郎,"1,876",八段
2021,9,稲葉陽,"1,703",八段
2021,10,菅井竜也,"1,674",八段
2021,12,山崎隆之,"1,498",八段
2021,13,佐藤天彦,"1,479",九段
2021,14,広瀬章人,"1,392",八段
2020,1,豊島将之,"10,645",竜王
2020,2,渡辺明,"8,043",名人
2020,3,永瀬拓矢,"4,621",王座
2020,4,藤井聡太,"4,554",二冠
2020,5,広瀬章人,"3,241",八段
