対局日,期,棋戦,備考,ブロック,回戦,局,先手の勝敗,先手,後手,後手の勝敗,千日手,放送日
2024-04-01,37,竜王戦,3組,,,,●,鈴木大介,本田奎,○,,
2024-04-01,37,竜王戦,6組,,,,●,上野裕寿,瀬川晶司,○,千日手,
2024-04-01,37,竜王戦,6組,,,,●,勝又清和,谷合廣紀,○,,
2024-04-01,74,王将戦,一次予選,,,,○,森本才跳,宮嶋健太,●,,
2024-04-02,37,竜王戦,4組,,,,●,北島忠雄,渡辺大夢,○,,
2024-04-02,,王位戦,挑決リーグ,,,,●,豊島将之,藤本渚,○,,
2024-04-02,,棋王戦,予選,,,,○,池永天志,船江恒平,●,,
2024-04-02,,棋王戦,予選,,,,●,石川優太,大石直嗣,○,,
2024-04-02,,棋王戦,予選,,,,●,竹内雄悟,黒田尭之,○,,
2024-04-03,37,竜王戦,2組,,,,●,藤井猛,八代弥,○,,
2024-04-03,37,竜王戦,4組,,,,○,伊藤真吾,飯島栄治,●,,
2024-04-03,37,竜王戦,5組,,,,○,斎藤明日斗,村田智弘,●,,
2024-04-03,,棋王戦,予選,,,,●,森下卓,郷田真隆,○,,
2024-04-03,,棋王戦,予選,,,,●,日浦市郎,高野智史,○,,
2024-04-03,,棋王戦,予選,,,,○,高見泰地,金井恒太,●,,
2024-04-03,,棋王戦,予選,,,,○,黒沢怜生,佐藤慎一,●,,
2024-04-03,,棋王戦,予選,,,,○,井田明宏,久保利明,●,,
2024-04-03,74,王将戦,一次予選,,,,○,横山泰明,長岡裕也,●,,
2024-04-03,74,王将戦,一次予選,,,,●,伊奈祐介,服部慎一郎,○,,
2024-04-03,74,王将戦,一次予選,,,,○,高田明浩,横山友紀,●,千日手,
2024-04-03,,棋聖戦,決勝トーナメント,,,,●,大橋貴洸,佐々木大地,○,,
2024-04-03,32,銀河戦,本戦トーナメント,B,7,,○,伊藤匠,深浦康市,●,,2024-06-20
2024-04-03,32,銀河戦,本戦トーナメント,D,7,,○,杉本和陽,渡辺和史,●,,2024-06-27
2024-04-03,32,銀河戦,本戦トーナメント,D,8,,○,佐々木慎,杉本和陽,●,,2024-07-25
2024-04-04,37,竜王戦,1組 出決,,,,○,広瀬章人,木村一基,●,,
2024-04-04,37,竜王戦,1組 出決,,,,●,菅井竜也,斎藤慎太郎,○,,
2024-04-04,37,竜王戦,2組 昇決,,,,○,阿久津主税,屋敷伸之,●,,
2024-04-04,37,竜王戦,4組,,,,○,石井健太郎,村山慈明,●,,
2024-04-04,37,竜王戦,6組,,,,●,長沼洋,山下数毅,○,,
2024-04-04,37,竜王戦,6組,,,,○,古森悠太,宮本広志,●,,
2024-04-04,74,王将戦,一次予選,,,,○,齊藤裕也,北浜健介,●,,
2024-04-04,,棋聖戦,決勝トーナメント,,,,●,渡辺明,山崎隆之,○,,
2024-04-04,,棋聖戦,決勝トーナメント,,,,○,佐藤天彦,西田拓也,●,,
2024-04-04,32,銀河戦,本戦トーナメント,C,7,,○,狩山幹生,中川大輔,●,,2024-06-25
2024-04-04,32,銀河戦,本戦トーナメント,C,8,,○,狩山幹生,増田康宏,●,,2024-07-23
2024-04-07,9,叡王戦,五番勝負,,,1,○,藤井聡太,伊藤匠,●,,
2024-04-08,,棋王戦,予選,,,,●,村田顕弘,森本才跳,○,,
2024-04-08,74,NHK杯,本戦,,1,5,●,黒沢怜生,冨田誠也,○,,2024-05-05
2024-04-08,74,NHK杯,本戦,,1,6,●,渡辺和史,八代弥,○,,2024-05-12
2024-04-09,37,竜王戦,1組 出決,,,,○,森内俊之,渡辺明,●,,
2024-04-09,37,竜王戦,4組 昇決,,,,○,佐藤紳哉,野月浩貴,●,,
2024-04-09,37,竜王戦,5組,,,,●,高田明浩,斎藤明日斗,○,,
2024-04-09,,棋王戦,予選,,,,○,島朗,真田圭一,●,,
2024-04-09,74,王将戦,一次予選,,,,●,佐々木慎,伊藤真吾,○,,
2024-04-09,32,銀河戦,本戦トーナメント,A,7,,○,小林裕士,青嶋未来,●,,2024-06-18
2024-04-09,32,銀河戦,本戦トーナメント,A,8,,●,小林裕士,阿久津主税,○,,2024-07-16
2024-04-10,37,竜王戦,1組,,,,○,佐藤康光,伊藤匠,●,,
2024-04-10,37,竜王戦,3組 昇決,,,,○,佐々木大地,大橋貴洸,●,,
2024-04-10,37,竜王戦,5組 昇決,,,,●,伊奈祐介,阿部隆,○,,
2024-04-10,,王位戦,挑決リーグ,,,,●,飯島栄治,西川和宏,○,,
2024-04-10,74,王将戦,一次予選,,,,○,西田拓也,山本真也,●,,
2024-04-10,74,王将戦,一次予選,,,,●,安用寺孝功,山崎隆之,○,,
2024-04-10,82,名人戦,七番勝負,,,1,○,藤井聡太,豊島将之,●,,
2024-04-10,32,銀河戦,本戦トーナメント,H,7,,○,谷川浩司,西尾明,●,,2024-07-11
2024-04-10,32,銀河戦,本戦トーナメント,H,8,,○,戸辺誠,谷川浩司,●,,2024-08-08
2024-04-11,37,竜王戦,1組 出決,,,,○,丸山忠久,松尾歩,●,,
2024-04-11,37,竜王戦,2組 昇決,,,,□,増田康宏,三枚堂達也,■,,
2024-04-11,,王位戦,挑決リーグ,,,,○,羽生善治,木村一基,●,,
2024-04-11,,棋王戦,予選,,,,●,窪田義行,深浦康市,○,,
2024-04-11,,棋王戦,予選,,,,●,畠山鎮,藤本渚,○,,
2024-04-11,74,王将戦,一次予選,,,,○,行方尚史,門倉啓太,●,,
2024-04-11,74,王将戦,一次予選,,,,●,久保利明,古森悠太,○,,
2024-04-11,74,王将戦,一次予選,,,,○,古賀悠聖,井田明宏,●,,
2024-04-11,,新人戦,,,,,●,山下数毅,服部慎一郎,○,,
2024-04-11,32,銀河戦,本戦トーナメント,F,7,,○,都成竜馬,石井健太郎,●,,2024-07-04
2024-04-11,32,銀河戦,本戦トーナメント,F,8,,●,都成竜馬,郷田真隆,○,,2024-08-01
2024-04-12,37,竜王戦,4組,,,,●,杉本和陽,村中秀史,○,千日手,
2024-04-12,,棋王戦,予選,,,,○,飯塚祐紀,上村亘,●,,
2024-04-12,,棋王戦,予選,,,,●,横山友紀,村山慈明,○,,
2024-04-12,74,王将戦,一次予選,,,,○,本田奎,田村康介,●,,
2024-04-12,74,王将戦,一次予選,,,,●,遠山雄亮,千葉幸生,○,,
2024-04-12,32,銀河戦,本戦トーナメント,E,7,,○,梶浦宏孝,北浜健介,●,,2024-07-02
2024-04-12,32,銀河戦,本戦トーナメント,E,8,,○,梶浦宏孝,高見泰地,●,,2024-07-30
2024-04-13,,新人戦,,,,,●,斎藤明日斗,原司,○,,
2024-04-15,,棋王戦,予選,,,,○,杉本和陽,田村康介,●,,
2024-04-16,37,竜王戦,4組,,,,○,船江恒平,伊藤真吾,●,,
2024-04-16,37,竜王戦,4組 昇決,,,,○,高橋道雄,青嶋未来,●,,
2024-04-16,37,竜王戦,6組,,,,○,山下数毅,瀬川晶司,●,,
2024-04-16,37,竜王戦,6組,,,,○,藤本渚,小山怜央,●,,
2024-04-16,,棋王戦,予選,,,,●,井出隼平,戸辺誠,○,,
2024-04-16,,棋王戦,予選,,,,○,及川拓馬,佐藤紳哉,●,,
2024-04-16,,棋王戦,予選,,,,○,狩山幹生,古森悠太,●,,
2024-04-16,,棋聖戦,決勝トーナメント,,,,○,山崎隆之,永瀬拓矢,●,,
2024-04-17,37,竜王戦,3組,,,,●,千田翔太,池永天志,○,千日手,
2024-04-17,37,竜王戦,4組,,,,●,渡辺大夢,高崎一生,○,千日手,
2024-04-17,,棋王戦,予選,,,,●,中村亮介,佐々木慎,○,,
2024-04-17,74,王将戦,一次予選,,,,○,三枚堂達也,阿部光瑠,●,,
2024-04-17,,棋聖戦,決勝トーナメント,,,,●,佐々木大地,佐藤天彦,○,,
2024-04-18,37,竜王戦,3組,,,,●,梶浦宏孝,本田奎,○,,
2024-04-18,37,竜王戦,3組 昇決,,,,○,大石直嗣,中村修,●,,
2024-04-18,37,竜王戦,5組,,,,●,狩山幹生,井田明宏,○,,
2024-04-18,,棋王戦,予選,,,,●,行方尚史,小山直希,○,,
2024-04-18,74,王将戦,一次予選,,,,●,石田直裕,飯島栄治,○,,
2024-04-18,32,銀河戦,本戦トーナメント,G,7,,○,森内俊之,鈴木大介,●,,2024-07-09
2024-04-18,32,銀河戦,本戦トーナメント,G,8,,○,松尾歩,森内俊之,●,,2024-08-06
2024-04-19,37,竜王戦,2組,,,,○,佐々木勇気,八代弥,●,,
2024-04-19,37,竜王戦,4組,,,,●,石井健太郎,高野智史,○,,
2024-04-19,37,竜王戦,4組 昇決,,,,○,石川優太,北浜健介,●,,
2024-04-19,,棋王戦,予選,,,,●,渡辺正和,斎藤明日斗,○,,
2024-04-19,74,王将戦,一次予選,,,,●,竹内雄悟,藤本渚,○,,
2024-04-20,9,叡王戦,五番勝負,,,2,○,伊藤匠,藤井聡太,●,,
2024-04-22,,棋聖戦,挑決,,,,●,佐藤天彦,山崎隆之,○,,
2024-04-22,,新人戦,,,,,○,藤本渚,清水航,●,,
2024-04-22,74,NHK杯,本戦,,1,7,●,斎藤明日斗,横山泰明,○,,2024-05-19
2024-04-22,74,NHK杯,本戦,,1,8,○,屋敷伸之,千田翔太,●,,2024-05-26
2024-04-23,37,竜王戦,5組,,,,○,西尾明,中川大輔,●,,
2024-04-23,37,竜王戦,6組,,,,○,井出隼平,安用寺孝功,●,,
2024-04-23,,棋王戦,予選,,,,○,梶浦宏孝,松本佳介,●,,
2024-04-23,,棋王戦,予選,,,,●,大石直嗣,森本才跳,○,,
2024-04-23,74,王将戦,一次予選,,,,●,八代弥,伊藤匠,○,,
2024-04-23,,新人戦,,,,,○,高田明浩,古井丈大,●,,
2024-04-23,82,名人戦,七番勝負,,,2,●,豊島将之,藤井聡太,○,,
2024-04-24,37,竜王戦,5組 昇決,,,,●,片上大輔,竹内雄悟,○,,
2024-04-24,37,竜王戦,5組 残決,,,,○,矢倉規広,南芳一,●,,
2024-04-24,,棋王戦,予選,,,,●,三枚堂達也,飯島栄治,○,,
2024-04-24,74,王将戦,一次予選,,,,●,中村修,郷田真隆,○,,
2024-04-24,74,王将戦,一次予選,,,,●,山本博志,杉本和陽,○,,
2024-04-24,,新人戦,,,,,●,宮嶋健太,井田明宏,○,,
2024-04-25,37,竜王戦,3組 昇決,,,,●,金井恒太,及川拓馬,○,,
2024-04-25,37,竜王戦,3組 昇決,,,,○,佐々木慎,黒沢怜生,●,,
2024-04-25,37,竜王戦,6組,,,,○,古森悠太,谷合廣紀,●,,
2024-04-25,,王位戦,挑決リーグ,,,,○,藤本渚,石井健太郎,●,,
2024-04-25,,王座戦,挑決トーナメント,,,,○,羽生善治,佐藤康光,●,,
2024-04-25,74,王将戦,一次予選,,,,○,野月浩貴,村中秀史,●,,
2024-04-25,74,王将戦,一次予選,,,,●,石川優太,服部慎一郎,○,,
2024-04-25,32,銀河戦,本戦トーナメント,B,8,,○,伊藤匠,村山慈明,●,,2024-07-18
2024-04-25,32,銀河戦,本戦トーナメント,B,9,,○,伊藤匠,千田翔太,●,,2024-08-15
2024-04-26,37,竜王戦,4組 昇決,,,,○,横山泰明,遠山雄亮,●,,
2024-04-26,37,竜王戦,4組 昇決,,,,○,戸辺誠,中座真,●,,
2024-04-26,,王位戦,挑決リーグ,,,,○,斎藤慎太郎,佐藤天彦,●,,
