対局日,棋戦,備考,先手の勝敗,先手,後手,後手の勝敗,千日手,放送日
2025-04-01,倉敷藤花戦,,●,竹部さゆり,礒谷真帆,○,,
2025-04-01,倉敷藤花戦,,○,加藤圭,渡辺弥生,●,,
2025-04-02,清麗戦,予選,○,加藤桃子,西山朋佳,●,,
2025-04-02,清麗戦,予選,●,山根ことみ,渡部愛,○,,
2025-04-02,清麗戦,予選,○,上田初美,鈴木環那,●,,
2025-04-02,清麗戦,予選,●,砂原奏,磯谷祐維,○,,
2025-04-02,清麗戦,予選,●,貞升南,脇田菜々子,○,,
2025-04-02,清麗戦,予選,●,香川愛生,塚田恵梨花,○,,
2025-04-02,倉敷藤花戦,,●,高浜愛子,大城千花アマ,○,,
2025-04-03,倉敷藤花戦,,○,村田智穂,木村朱里,●,,
2025-04-04,女流名人戦,第4局,●,福間香奈,西山朋佳,○,,
2025-04-08,マイナビ,第1局,●,福間香奈,西山朋佳,○,,
2025-04-08,女流名人戦,女流名人リーグ,○,渡部愛,宮澤紗希,●,,
2025-04-08,倉敷藤花戦,,●,今井絢,加藤桃子,○,,
2025-04-09,女流順位戦,C級,●,貞升南,大島綾華,○,,
2025-04-09,女流順位戦,C級,○,久保翔子,高浜愛子,●,,
2025-04-09,女流順位戦,C級,○,小高佐季子,長沢千和子,●,,
2025-04-09,女流順位戦,C級,○,室谷由紀,長谷川優貴,●,,
2025-04-09,女流順位戦,C級,○,山口恵梨子,内山あや,●,,
2025-04-09,女流順位戦,C級,●,本田小百合,清水市代,○,,
2025-04-09,女流順位戦,C級,●,藤田綾,北村桂香,○,,
2025-04-09,女流順位戦,C級,●,田中沙紀,中村真梨花,○,,
2025-04-09,女流順位戦,C級,○,室田伊緒,堀彩乃,●,,
2025-04-09,女流順位戦,C級,●,中澤沙耶,佐々木海法,○,,
2025-04-09,倉敷藤花戦,,○,山根ことみ,宮宗紫野,●,,
2025-04-09,倉敷藤花戦,,●,山口仁子梨,岩佐美帆子,○,,
2025-04-10,倉敷藤花戦,,○,石高澄恵,飯野愛,●,,
2025-04-11,女流名人戦,第5局,○,福間香奈,西山朋佳,●,,
2025-04-11,女流順位戦,A級,○,鈴木環那,和田あき,●,,
2025-04-11,女流順位戦,A級,●,加藤圭,伊藤沙恵,○,,
2025-04-11,女流順位戦,A級,●,上田初美,加藤桃子,○,,
2025-04-11,女流順位戦,A級,○,香川愛生,石本さくら,●,,
2025-04-11,女流順位戦,B級,●,千葉涼子,野原未蘭,○,,
2025-04-11,女流順位戦,B級,○,伊奈川愛菓,頼本奈菜,●,,
2025-04-11,女流順位戦,B級,○,中井広恵,加藤結李愛,●,,
2025-04-11,女流順位戦,B級,●,武富礼衣,渡部愛,○,,
2025-04-11,女流順位戦,B級,●,岩根忍,塚田恵梨花,○,,
2025-04-14,女流順位戦,D級,●,島井咲緒里,和田はな,○,,
2025-04-14,女流順位戦,D級,○,矢内理絵子,上川香織,●,,
2025-04-14,女流順位戦,D級,●,竹部さゆり,岩崎夏子,○,,
2025-04-14,女流順位戦,D級,○,梅津美琴,石高澄恵,●,,
2025-04-14,女流順位戦,D級,●,脇田菜々子,鎌田美礼,○,,
2025-04-14,女流順位戦,D級,○,砂原奏,崎原知宙,●,,
2025-04-14,女流順位戦,D級,●,伊藤真央,磯谷祐維,○,,
2025-04-14,女流順位戦,D級,●,山田久美,宮澤紗希,○,,
2025-04-14,女流順位戦,D級,○,宮宗紫野,今井絢,●,,
2025-04-14,女流順位戦,D級,○,礒谷真帆,竹内優月,●,,
2025-04-14,女流順位戦,D級,○,渡辺弥生,森本理子,●,,
2025-04-14,女流順位戦,D級,○,藤井奈々,村田智穂,●,,
2025-04-14,女流順位戦,D級,○,松下舞琳,山口仁子梨,●,,
2025-04-14,女流順位戦,D級,●,川又咲紀,斎田晴子,○,,
2025-04-14,女流順位戦,D級,○,木村朱里,山口稀良莉,●,,
2025-04-14,女流順位戦,D級,○,岩佐美帆子,中倉宏美,●,,
2025-04-14,女流順位戦,D級,○,榊菜吟,相川春香,●,,
2025-04-15,マイナビ,第2局,●,西山朋佳,福間香奈,○,,
2025-04-15,倉敷藤花戦,,○,鈴木環那,伊奈川愛菓,●,,
2025-04-17,女流順位戦,A級,○,福間香奈,山根ことみ,●,,
2025-04-17,女流名人戦,女流名人リーグ,●,今井絢,野原未蘭,○,,
2025-04-17,女流名人戦,女流名人リーグ,○,内山あや,石本さくら,●,,
2025-04-17,倉敷藤花戦,,●,千葉涼子,中村真梨花,○,,
2025-04-18,倉敷藤花戦,,○,和田あき,岩根忍,●,,
2025-04-21,清麗戦,予選,○,西山朋佳,塚田恵梨花,●,,
2025-04-21,清麗戦,予選,●,磯谷祐維,上田初美,○,,
2025-04-21,清麗戦,予選,●,脇田菜々子,渡部愛,○,,
2025-04-21,女流名人戦,女流名人リーグ,●,中井広恵,伊藤沙恵,○,,
2025-04-22,倉敷藤花戦,,●,石高澄恵,頼本奈菜,○,,
2025-04-22,倉敷藤花戦,,○,堀彩乃,武富礼衣,●,,
2025-04-22,倉敷藤花戦,,●,山口恵梨子,小高佐季子,○,,
2025-04-23,倉敷藤花戦,,●,岩崎夏子,田中沙紀,○,,
2025-04-24,女流王位戦,第1局,○,伊藤沙恵,福間香奈,●,,
