the,match,phase,detail,notes,game_date,A,player_A,a,b,player_B,B,others
15,青流戦,決勝,三番勝負,第1局,2025-10-12,☗,吉池隆真,☆,★,柵木幹太,☖,
15,青流戦,決勝,三番勝負,第2局,2025-10-13,☖,吉池隆真,★,☆,柵木幹太,☗,
15,青流戦,決勝,三番勝負,第3局,2025-10-13,☗,吉池隆真,☆,★,柵木幹太,☖,
15,青流戦,トーナメント,1回戦,,2025-05-31,☗,村田楽三段,☆,★,上田洋アマ,☖,
15,青流戦,トーナメント,1回戦,,2025-06-23,☖,片山史龍三段,★,☆,山口裕誠三段,☗,
15,青流戦,トーナメント,1回戦,,2025-06-15,☖,天野啓吾アマ,★,☆,関祐人三段,☗,
15,青流戦,トーナメント,1回戦,,2025-05-29,☗,木村友亮三段,★,☆,宮原暁月三段,☖,
15,青流戦,トーナメント,2回戦,,2025-05-31,☖,生垣寛人三段,☆,★,村田楽三段,☗,
15,青流戦,トーナメント,2回戦,,2025-05-17,☗,齊藤裕也,★,☆,徳田拳士,☖,
15,青流戦,トーナメント,2回戦,,2025-07-28,☗,祝井優希三段,★,☆,小山怜央,☖,
15,青流戦,トーナメント,2回戦,,2025-06-23,☖,山口裕誠三段,☆,★,是枝直樹三段,☗,
15,青流戦,トーナメント,2回戦,,2025-06-15,☖,横山友紀,☆,★,関祐人三段,☗,
15,青流戦,トーナメント,2回戦,,2025-06-03,☖,永井大三段,☆,★,山川泰熙,☗,
15,青流戦,トーナメント,2回戦,,2025-07-09,☗,内山あや,★,☆,獺ヶ口笑保人,☖,
15,青流戦,トーナメント,2回戦,,2025-05-29,☗,宮原暁月三段,★,☆,吉池隆真,☖,
15,青流戦,トーナメント,3回戦,,2025-08-13,☗,生垣寛人三段,★,☆,徳田拳士,☖,
15,青流戦,トーナメント,3回戦,,2025-07-28,☗,小山怜央,★,☆,山口裕誠三段,☖,
15,青流戦,トーナメント,3回戦,,2025-08-06,☖,横山友紀,★,☆,永井大三段,☗,
15,青流戦,トーナメント,3回戦,,2025-08-06,☗,獺ヶ口笑保人,★,☆,吉池隆真,☖,
15,青流戦,トーナメント,準々決勝,,2025-09-11,☖,徳田拳士,☆,★,山口裕誠三段,☗,
15,青流戦,トーナメント,準々決勝,,2025-08-06,☖,永井大三段,★,☆,吉池隆真,☗,
15,青流戦,トーナメント,準決勝,,2025-09-11,☗,徳田拳士,★,☆,吉池隆真,☖,
15,青流戦,トーナメント,1回戦,,2025-05-29,☗,廣森航汰三段,★,☆,小窪碧三段,☖,
15,青流戦,トーナメント,1回戦,,2025-05-30,☖,北村啓太郎三段,★,☆,村上邦和三段,☗,
15,青流戦,トーナメント,1回戦,,2025-05-20,☖,渋江朔矢三段,★,☆,慶田義法アマ,☗,
15,青流戦,トーナメント,1回戦,,2025-06-27,☖,川村悠人三段,★,☆,清水将馬三段,☗,
15,青流戦,トーナメント,2回戦,,2025-05-29,☗,古井丈大三段,☆,★,小窪碧三段,☖,
15,青流戦,トーナメント,2回戦,,2025-06-25,☖,小山直希,★,☆,高橋佑二郎,☗,
15,青流戦,トーナメント,2回戦,,2025-07-08,☖,大島綾華,★,☆,宮嶋健太,☗,
15,青流戦,トーナメント,2回戦,,2025-05-30,☗,村上邦和三段,☆,★,齊藤優希,☖,
15,青流戦,トーナメント,2回戦,,2025-05-20,☖,柵木幹太,☆,★,慶田義法アマ,☗,
15,青流戦,トーナメント,2回戦,,2025-05-17,☗,炭崎俊毅,★,☆,山下数毅三段,☖,
15,青流戦,トーナメント,2回戦,,2025-06-03,☗,吉田桂悟三段,☆,★,谷合廣紀,☖,
15,青流戦,トーナメント,2回戦,,2025-06-27,☖,清水将馬三段,★,☆,森本才跳,☗,
15,青流戦,トーナメント,3回戦,,2025-07-28,☖,古井丈大三段,★,☆,高野佑二郎,☗,
15,青流戦,トーナメント,3回戦,,2025-07-08,☖,宮嶋健太,☆,★,村上邦和三段,☗,
15,青流戦,トーナメント,3回戦,,2025-08-22,☗,柵木幹太,☆,★,山下数毅三段,☖,
15,青流戦,トーナメント,3回戦,,2025-08-22,☗,吉田桂悟三段,★,☆,森本才跳,☖,
15,青流戦,トーナメント,準々決勝,,2025-09-11,☖,高橋佑二郎,☆,★,宮嶋健太,☗,
15,青流戦,トーナメント,準々決勝,,2025-08-22,☗,柵木幹太,☆,★,森本才跳,☖,
15,青流戦,トーナメント,準決勝,,2025-09-11,☖,高橋佑二郎,★,☆,柵木幹太,☗,
