the,match,phase,detail,notes,game_date,A,player_A,a,b,player_B,B,others
33,銀河戦,決勝トーナメント,1回戦,,2025-08-27,☗,増田康宏,☆,★,高崎一生,☖,2025-11-06
33,銀河戦,決勝トーナメント,1回戦,,2025-09-02,☗,冨田誠也,★,☆,永瀬拓矢,☖,2025-11-11
33,銀河戦,決勝トーナメント,1回戦,,2025-09-03,☗,服部慎一郎,☆,★,羽生善治,☖,2025-11-13
33,銀河戦,決勝トーナメント,1回戦,,2025-09-03,☗,佐々木大地,★,☆,千田翔太,☖,2025-11-18
33,銀河戦,決勝トーナメント,1回戦,,2025-09-11,☗,飯塚祐紀,★,☆,渡辺明,☖,2025-11-20
33,銀河戦,決勝トーナメント,1回戦,,2025-09-12,☗,豊島将之,☆,★,渡辺和史,☖,2025-11-25
33,銀河戦,決勝トーナメント,1回戦,,2025-09-12,☗,藤井聡太,☆,★,岡部怜央,☖,2025-11-27
33,銀河戦,決勝トーナメント,1回戦,,2025-09-16,☗,佐々木勇気,☆,★,藤本渚,☖,2025-12-02
33,銀河戦,決勝トーナメント,2回戦,,2025-09-16,☗,増田康宏,★,☆,永瀬拓矢,☖,2025-12-04
33,銀河戦,決勝トーナメント,2回戦,,2025-10-08,☗,佐々木勇気,☆,★,千田翔太,☖,2025-12-09
33,銀河戦,決勝トーナメント,2回戦,,2025-10-08,―,豊島将之,□,■,渡辺明,―,2025-12-16
33,銀河戦,決勝トーナメント,2回戦,,2025-10-09,☗,藤井聡太,☆,★,服部慎一郎,☖,2025-12-11
33,銀河戦,決勝トーナメント,準決勝,,2025-10-08,☗,豊島将之,☆,★,佐々木勇気,☖,2025-12-18
33,銀河戦,決勝トーナメント,準決勝,,2025-10-09,☗,永瀬拓矢,★,☆,藤井聡太,☖,2025-12-23
33,銀河戦,決勝トーナメント,決勝,,2025-10-24,☗,豊島将之,☆,★,藤井聡太,☖,2025-12-30
33,銀河戦,本戦,Aブロック,1回戦,2024-10-31,☗,竹内雄悟,★,☆,平藤眞吾,☖,2025-01-02
33,銀河戦,本戦,Aブロック,2回戦,2024-10-31,☗,平藤眞吾,★,☆,杉本和陽,☖,2025-01-30
33,銀河戦,本戦,Aブロック,3回戦,2024-10-31,☗,杉本和陽,★,☆,狩山幹生,☖,2025-02-27
33,銀河戦,本戦,Aブロック,4回戦,2024-11-21,☗,狩山幹生,★,☆,飯塚祐紀,☖,2025-03-27
33,銀河戦,本戦,Aブロック,5回戦,2024-11-21,☗,片上大輔,★,☆,飯塚祐紀,☖,2025-04-24
33,銀河戦,本戦,Aブロック,6回戦,2025-03-19,☗,阿部隆,★,☆,飯塚祐紀,☖,2025-05-22
33,銀河戦,本戦,Aブロック,7回戦,2025-03-19,☗,飯塚祐紀,★,☆,及川拓馬,☖,2025-06-19
33,銀河戦,本戦,Aブロック,8回戦,2025-05-13,☗,及川拓馬,☆,★,深浦康市,☖,2025-07-17
33,銀河戦,本戦,Aブロック,9回戦,2025-05-13,☗,澤田真吾,☆,★,及川拓馬,☖,2025-08-14
33,銀河戦,本戦,Aブロック,10回戦,2025-07-19,☗,増田康宏,☆,★,澤田真吾,☖,2025-09-11
