the,match,phase,detail,notes,game_date,A,player_A,a,b,player_B,B,others
56,新人戦,トーナメント,1回戦,,2024-11-28,☖,是枝直樹三段,★,☆,古井丈大三段,☗,
56,新人戦,トーナメント,1回戦,,2024-11-26,☗,宮田大暉三段,☆,★,炭崎俊毅三段,☖,
56,新人戦,トーナメント,1回戦,,2024-11-27,☗,桐山大翔三段,★,☆,山口裕誠三段,☖,
56,新人戦,トーナメント,1回戦,,2024-11-25,☗,田中大貴三段,☆,★,片山史龍三段,☖,
56,新人戦,トーナメント,2回戦,,2025-01-27,☖,高田明浩,★,☆,古井丈大三段,☗,
56,新人戦,トーナメント,2回戦,,2025-01-31,☗,岡部怜央,☆,★,獺ヶ口笑保人,☖,
56,新人戦,トーナメント,2回戦,,2025-03-07,☖,柵木幹太,☆,★,大島綾華,☗,
56,新人戦,トーナメント,2回戦,,2025-02-12,☗,宮田大暉三段,★,☆,狩山幹生,☖,
56,新人戦,トーナメント,2回戦,,2025-01-21,☗,斎藤明日斗,☆,★,山口裕誠三段,☖,
56,新人戦,トーナメント,2回戦,,2025-03-17,☗,横山友紀,☆,★,松本大輝三段,☖,
56,新人戦,トーナメント,2回戦,,2025-02-25,☖,宮嶋健太,☆,★,山根ことみ,☗,
56,新人戦,トーナメント,2回戦,,2025-03-27,☗,田中大貴三段,★,☆,藤本渚,☖,
56,新人戦,トーナメント,3回戦,,2025-06-04,☖,古井丈大三段,☆,★,岡部怜央,☗,
56,新人戦,トーナメント,3回戦,,2025-06-13,☖,柵木幹太,☆,★,狩山幹生,☗,
56,新人戦,トーナメント,3回戦,,2025-04-18,☗,斎藤明日斗,☆,★,横山友紀,☖,
56,新人戦,トーナメント,3回戦,,2025-07-18,☗,宮嶋健太,★,☆,藤本渚,☖,
56,新人戦,トーナメント,準々決勝,,2025-08-29,☖,古井丈大三段,★,☆,柵木幹太,☗,
56,新人戦,トーナメント,準々決勝,,2025-09-05,☖,斎藤明日斗,☆,★,藤本渚,☗,
56,新人戦,トーナメント,準決勝,,2025-09-25,☗,柵木幹太,★,☆,斎藤明日斗,☖,
56,新人戦,トーナメント,1回戦,,2024-11-27,☖,村田楽三段,★,☆,山下数毅三段,☗,
56,新人戦,トーナメント,1回戦,,2024-11-27,☖,宮原暁月三段,☆,★,吉田桂悟三段,☗,
56,新人戦,トーナメント,1回戦,,2024-12-21,☖,増田晃之郎三段,★,☆,小林智晴アマ,☗,
56,新人戦,トーナメント,1回戦,,2024-11-22,☖,廣森航汰三段,★,☆,小窪碧三段,☗,
56,新人戦,トーナメント,2回戦,,2025-01-29,☗,服部慎一郎,☆,★,山下数毅三段,☖,
56,新人戦,トーナメント,2回戦,,2025-03-26,☖,高橋佑二郎,☆,★,内山あや,☗,
56,新人戦,トーナメント,2回戦,,2025-02-26,☖,山川泰熙,☆,★,高坂直矢三段,☗,
56,新人戦,トーナメント,2回戦,,2025-03-18,☗,宮原暁月三段,★,☆,徳田拳士,☖,
56,新人戦,トーナメント,2回戦,,2025-03-23,☖,古賀悠盛,☆,★,小林智晴アマ,☗,
56,新人戦,トーナメント,2回戦,,2025-03-05,☗,森本才跳,☆,★,石本さくら,☖,
56,新人戦,トーナメント,2回戦,,2025-02-18,☗,小山直希,★,☆,吉池隆真,☖,
56,新人戦,トーナメント,2回戦,,2025-03-25,☖,小窪碧三段,★,☆,上野裕寿,☗,
56,新人戦,トーナメント,3回戦,,2025-06-04,☖,服部慎一郎,☆,★,高橋佑二郎,☗,
56,新人戦,トーナメント,3回戦,,2025-07-17,☗,山川泰熙,★,☆,徳田拳士,☖,
56,新人戦,トーナメント,3回戦,,2025-08-05,☖,古賀悠盛,☆,★,森本才跳,☗,
56,新人戦,トーナメント,3回戦,,2025-06-24,☖,吉池隆真,☆,★,上野裕寿,☗,
56,新人戦,トーナメント,準々決勝,,2025-08-07,☗,服部慎一郎,☆,★,徳田拳士,☖,
56,新人戦,トーナメント,準々決勝,,2025-08-29,☗,古賀悠盛,☆,★,吉池隆真,☖,
56,新人戦,トーナメント,準決勝,,2025-09-24,☗,服部慎一郎,☆,★,古賀悠盛,☖,
56,新人戦,決勝,三番勝負,第1局,2025-10-06,☖,服部慎一郎,☆,★,斎藤明日斗,☗,
56,新人戦,決勝,三番勝負,第2局,2025-10-21,☗,服部慎一郎,★,☆,斎藤明日斗,☖,
56,新人戦,決勝,三番勝負,第3局,2025-10-27,☗,服部慎一郎,☆,★,斎藤明日斗,☖,
