the,match,phase,detail,notes,game_date,A,player_A,a,b,player_B,B,others
75,NHK杯,本戦,決勝,,2026-02-13,☗,増田康宏,★,☆,藤井聡太,☖,2026-03-08
75,NHK杯,本戦,準決勝,第2局,2026-02-01,☗,増田康宏,☆,★,糸谷哲郎,☖,2026-03-01
75,NHK杯,本戦,準決勝,第1局,2026-01-22,☗,藤井聡太,☆,★,豊島将之,☖,2026-02-22
75,NHK杯,本戦,準々決勝,第4局,2026-01-15,☗,中村太地,★,☆,増田康宏,☖,2026-02-15
75,NHK杯,本戦,準々決勝,第3局,2026-01-08,☗,糸谷哲郎,☆,★,佐々木勇気,☖,2026-02-08
75,NHK杯,本戦,準々決勝,第2局,2026-01-01,☗,豊島将之,☆,★,伊藤匠,☖,2026-02-01
75,NHK杯,本戦,準々決勝,第1局,2025-12-25,☗,石川優太,★,☆,藤井聡太,☖,2026-01-25
75,NHK杯,本戦,3回戦,第8局,2025-12-18,☗,佐々木勇気,☆,★,菅井竜也,☖,2026-01-18
75,NHK杯,本戦,3回戦,第7局,2025-12-11,☗,佐々木大地,★,☆,糸谷哲郎,☖,2026-01-11
75,NHK杯,本戦,3回戦,第6局,2025-12-04,☗,大橋貴洸,★,☆,伊藤匠,☖,2026-01-04
75,NHK杯,本戦,3回戦,第5局,2025-11-21,☗,藤井聡太,☆,★,藤本渚,☖,2025-12-21
75,NHK杯,本戦,3回戦,第4局,2025-11-14,☗,中村太地,☆,★,斎藤慎太郎,☖,2025-12-14
75,NHK杯,本戦,3回戦,第3局,2025-11-07,☗,永瀬拓矢,★,☆,豊島将之,☖,2025-12-07
75,NHK杯,本戦,3回戦,第2局,2025-10-30,☗,石川優太,☆,★,稲葉陽,☖,2025-11-30
75,NHK杯,本戦,3回戦,第1局,2025-10-23,☗,谷川浩司,★,☆,増田康宏,☖,2025-11-23
75,NHK杯,本戦,2回戦,第15局,2025-10-16,☗,郷田真隆,★,☆,佐々木大地,☖,2025-11-16
75,NHK杯,本戦,2回戦,第16局,2025-10-16,☗,渡辺明,■,□,石川優太,☖,2025-11-16
75,NHK杯,本戦,2回戦,第14局,2025-10-09,☗,永瀬拓矢,☆,★,澤田真吾,☖,2025-11-09
75,NHK杯,本戦,2回戦,第13局,2025-10-02,☗,佐藤天彦,★,☆,斎藤慎太郎,☖,2025-11-02
