the,match,phase,detail,notes,game_date,A,player_A,a,b,player_B,B,others
76,NHK杯,本戦トーナメント,1回戦,第1局,2026-03-05,☖,石井健太郎,★,☆,上野裕寿,☗,2026-04-05
76,NHK杯,本戦トーナメント,1回戦,第2局,2026-03-12,☖,横山友紀,☆,★,本田奎,☗,2026-04-12
76,NHK杯,本戦トーナメント,1回戦,第3局,2026-03-19,☖,大橋貴洸,☆,★,澤田真吾,☗,2026-04-19
76,NHK杯,本戦トーナメント,1回戦,第4局,2026-03-26,☗,佐藤康光,★,☆,池永天志,☖,2026-04-26
76,NHK杯,本戦トーナメント,1回戦,第5局,2026-04-03,☗,阪口悟,★,☆,山崎隆之,☖,2026-05-03
76,NHK杯,本戦トーナメント,1回戦,第6局,2026-04-10,☗,広瀬章人,★,☆,吉池隆真,☖,2026-05-10
76,NHK杯,本戦トーナメント,1回戦,第7局,2026-04-17,☗,久保利明,☆,★,戸辺誠,☖,2026-05-17
76,NHK杯,本戦トーナメント,1回戦,第8局,2026-04-24,☗,屋敷伸之,☆,★,渡辺大夢,☖,2026-05-24
76,NHK杯,本戦トーナメント,1回戦,第9局,2026-04-30,☗,青嶋未来,★,☆,高見泰地,☖,2026-05-31
76,NHK杯,本戦トーナメント,1回戦,第10局,2026-05-07,☗,木村一基,★,☆,勝又清和,☖,2026-06-07
76,NHK杯,本戦トーナメント,1回戦,第11局,2026-05-14,☗,松本佳介,★,☆,服部慎一郎,☖,2026-06-14
76,NHK杯,本戦トーナメント,1回戦,第12局,2026-05-21,☗,冨田誠也,★,☆,佐々木大地,☖,2026-06-21
76,NHK杯,本戦トーナメント,1回戦,第13局,2026-05-28,☖,佐々木慎,★,☆,古賀悠聖,☗,2026-06-28
76,NHK杯,本戦トーナメント,1回戦,第14局,2026-06-05,☖,郷田真隆,★,☆,柵木幹太,☗,2026-07-05
76,NHK杯,本戦トーナメント,1回戦,第15局,2026-06-12,☖,藤本渚,★,☆,大石直嗣,☗,2026-07-12
76,NHK杯,本戦トーナメント,1回戦,第16局,2026-06-19,☗,生垣寛人,☆,★,斎藤慎太郎,☖,2026-07-19
76,NHK杯,本戦トーナメント,1回戦,第17局,2026-xx-xx,,横山泰明,,,羽生善治,,2026-07-26
76,NHK杯,本戦トーナメント,1回戦,第18局,2026-xx-xx,,行方尚史,,,西山朋佳,,2026-08-02
76,NHK杯,予選トーナメント,1組,1回戦,2026-02-12,☗,森内俊之,☆,★,藤森哲也,☖,
76,NHK杯,予選トーナメント,1組,1回戦,2026-02-12,☖,渡辺大夢,☆,★,小山直希,☗,
76,NHK杯,予選トーナメント,1組,1回戦,2026-02-12,☗,杉本和陽,☆,★,上村亘,☖,
76,NHK杯,予選トーナメント,1組,準決勝,2026-02-12,☗,森内俊之,★,☆,渡辺大夢,☖,
76,NHK杯,予選トーナメント,1組,準決勝,2026-02-12,☖,杉本和陽,★,☆,三浦弘行,☗,
76,NHK杯,予選トーナメント,1組,決勝,2026-02-12,☖,渡辺大夢,☆,★,三浦弘行,☗,
76,NHK杯,予選トーナメント,2組,1回戦,2026-02-10,☗,中川大輔,☆,★,黒沢怜生,☖,
76,NHK杯,予選トーナメント,2組,1回戦,2026-02-10,☗,三枚堂達也,★,☆,本田奎,☖,
76,NHK杯,予選トーナメント,2組,1回戦,2026-02-10,☖,小山怜央,☆,★,八代弥,☗,
76,NHK杯,予選トーナメント,2組,1回戦,2026-02-10,☖,塚田泰明,★,☆,佐藤和俊,☗,
76,NHK杯,予選トーナメント,2組,準決勝,2026-02-10,☗,中川大輔,★,☆,本田奎,☖,
76,NHK杯,予選トーナメント,2組,準決勝,2026-02-10,☗,小山怜央,☆,★,佐藤和俊,☖,
76,NHK杯,予選トーナメント,2組,決勝,2026-02-10,☗,本田奎,☆,★,小山怜央,☖,
76,NHK杯,予選トーナメント,3組,1回戦,2026-02-20,☖,木村一基,☆,★,富岡英作,☗,
76,NHK杯,予選トーナメント,3組,1回戦,2026-02-20,☗,岡部怜央,★,☆,山本博志,☖,
76,NHK杯,予選トーナメント,3組,1回戦,2026-02-20,☖,渡辺正和,☆,★,真田圭一,☗,
76,NHK杯,予選トーナメント,3組,1回戦,2026-02-20,☖,日浦市郎,★,☆,丸山忠久,☗,
76,NHK杯,予選トーナメント,3組,準決勝,2026-02-20,☗,木村一基,☆,★,山本博志,☖,
76,NHK杯,予選トーナメント,3組,準決勝,2026-02-20,☖,渡辺正和,☆,★,丸山忠久,☗,
76,NHK杯,予選トーナメント,3組,決勝,2026-02-20,☖,木村一基,☆,★,渡辺正和,☗,
76,NHK杯,予選トーナメント,4組,1回戦,2026-02-24,☖,阿久津主税,★,☆,勝又清和,☗,
76,NHK杯,予選トーナメント,4組,1回戦,2026-02-24,☗,村中秀史,☆,★,田村康介,☖,
76,NHK杯,予選トーナメント,4組,1回戦,2026-02-24,☖,片山史龍,☆,★,宮田敦史,☗,
76,NHK杯,予選トーナメント,4組,1回戦,2026-02-24,☗,岩村凛太朗,☆,★,飯島栄治,☖,
76,NHK杯,予選トーナメント,4組,準決勝,2026-02-24,☗,勝又清和,☆,★,村中秀史,☖,
76,NHK杯,予選トーナメント,4組,準決勝,2026-02-24,☖,片山史龍,☆,★,岩村凛太朗,☗,
76,NHK杯,予選トーナメント,4組,決勝,2026-02-24,☗,勝又清和,☆,★,片山史龍,☖,
76,NHK杯,予選トーナメント,5組,1回戦,2026-02-17,☗,斎藤明日斗,☆,★,神谷広志,☖,
76,NHK杯,予選トーナメント,5組,1回戦,2026-02-17,☗,伊藤真吾,★,☆,西尾明,☖,
76,NHK杯,予選トーナメント,5組,1回戦,2026-02-17,☖,谷合廣紀,☆,★,石田直裕,☗,
76,NHK杯,予選トーナメント,5組,1回戦,2026-02-17,☗,門倉啓太,★,☆,戸辺誠,☖,
76,NHK杯,予選トーナメント,5組,準決勝,2026-02-17,☖,斎藤明日斗,☆,★,西尾明,☗,
76,NHK杯,予選トーナメント,5組,準決勝,2026-02-17,☖,谷合廣紀,★,☆,戸辺誠,☗,
76,NHK杯,予選トーナメント,5組,決勝,2026-02-17,☗,斎藤明日斗,★,☆,戸辺誠,☖,
76,NHK杯,予選トーナメント,6組,1回戦,2026-02-24,☗,郷田真隆,☆,★,中村修,☖,
76,NHK杯,予選トーナメント,6組,1回戦,2026-02-24,☗,佐藤紳哉,☆,★,阿部光瑠,☖,
76,NHK杯,予選トーナメント,6組,1回戦,2026-02-24,☗,窪田義行,☆,★,中村亮介,☖,
76,NHK杯,予選トーナメント,6組,1回戦,2026-02-24,☖,瀬川晶司,★,☆,渡辺和史,☗,
76,NHK杯,予選トーナメント,6組,準決勝,2026-02-24,☖,郷田真隆,☆,★,佐藤紳哉,☗,
76,NHK杯,予選トーナメント,6組,準決勝,2026-02-24,☗,窪田義行,☆,★,渡辺和史,☖,
76,NHK杯,予選トーナメント,6組,決勝,2026-02-24,☗,郷田真隆,☆,★,窪田義行,☖,
76,NHK杯,予選トーナメント,7組,1回戦,2026-02-19,☗,藤井猛,★,☆,佐藤秀司,☖,
76,NHK杯,予選トーナメント,7組,1回戦,2026-02-19,☗,豊川孝弘,★,☆,佐藤慎一,☖,
76,NHK杯,予選トーナメント,7組,1回戦,2026-02-19,☖,高橋道雄,☆,★,山川泰熙,☗,
76,NHK杯,予選トーナメント,7組,1回戦,2026-02-19,☗,所司和晴,★,☆,屋敷伸之,☖,
76,NHK杯,予選トーナメント,7組,準決勝,2026-02-19,☗,佐藤秀司,★,☆,佐藤慎一,☖,
76,NHK杯,予選トーナメント,7組,準決勝,2026-02-19,☖,高橋道雄,★,☆,屋敷伸之,☗,
