the,match,phase,detail,notes,game_date,A,player_A,a,b,player_B,B,others
84,順位戦,A級,1回戦,,2025-06-20,☗,増田康宏,☆,★,佐藤天彦,☖,
84,順位戦,A級,1回戦,,2025-06-20,☗,中村太地,★,☆,永瀬拓矢,☖,
84,順位戦,A級,1回戦,,2025-06-23,☗,近藤誠也,☆,★,千田翔太,☖,
84,順位戦,A級,1回戦,,2025-06-25,☗,豊島将之,★,☆,糸谷哲郎,☖,
84,順位戦,A級,1回戦,,2025-07-17,☗,佐々木勇気,★,☆,渡辺明,☖,
84,順位戦,A級,2回戦,,2025-07-30,☗,千田翔太,☆,★,中村太地,☖,
84,順位戦,A級,2回戦,,2025-08-08,☗,佐藤天彦,★,☆,豊島将之,☖,
84,順位戦,A級,2回戦,,2025-08-11,☗,永瀬拓矢,☆,★,増田康宏,☖,
84,順位戦,A級,2回戦,,2025-08-12,☗,渡辺明,■,□,近藤誠也,☖,
84,順位戦,A級,2回戦,,2025-08-21,☗,糸谷哲郎,☆,★,佐々木勇気,☖,
84,順位戦,A級,3回戦,,2025-09-10,☗,佐藤天彦,★,☆,佐々木勇気,☖,
84,順位戦,A級,3回戦,,2025-09-11,☗,中村太地,★,☆,近藤誠也,☖,
84,順位戦,A級,3回戦,,2025-09-19,☗,渡辺明,■,□,永瀬拓矢,☖,
84,順位戦,A級,3回戦,,2025-09-23,☗,糸谷哲郎,☆,★,千田翔太,☖,
84,順位戦,A級,3回戦,,2025-09-24,☗,豊島将之,☆,★,増田康宏,☖,
84,順位戦,A級,4回戦,,2025-10-15,☗,増田康宏,☆,★,糸谷哲郎,☖,
84,順位戦,A級,4回戦,,2025-10-17,☗,近藤誠也,★,☆,豊島将之,☖,
84,順位戦,A級,4回戦,,2025-10-20,☗,千田翔太,☆,★,佐藤天彦,☖,
84,順位戦,A級,4回戦,,2025-10-26,☗,渡辺明,■,□,中村太地,☖,
84,順位戦,A級,4回戦,,2025-10-26,☗,佐々木勇気,★,☆,永瀬拓矢,☖,
84,順位戦,A級,5回戦,,2025-11-07,☗,増田康宏,☆,★,佐々木勇気,☖,
84,順位戦,A級,5回戦,,2025-11-13,☗,永瀬拓矢,☆,★,近藤誠也,☖,
84,順位戦,A級,5回戦,,2025-11-14,☗,豊島将之,☆,★,千田翔太,☖,
84,順位戦,A級,5回戦,,2025-11-20,☗,渡辺明,■,□,佐藤天彦,☖,
84,順位戦,A級,5回戦,,2025-11-20,☗,糸谷哲郎,☆,★,中村太地,☖,
84,順位戦,A級,6回戦,,2025-12-10,☗,佐々木勇気,☆,★,近藤誠也,☖,
84,順位戦,A級,6回戦,,2025-12-10,☗,佐藤天彦,★,☆,糸谷哲郎,☖,
84,順位戦,A級,6回戦,,2025-12-12,☗,千田翔太,★,☆,永瀬拓矢,☖,
84,順位戦,A級,6回戦,,2025-12-19,☗,豊島将之,★,☆,中村太地,☖,
84,順位戦,A級,6回戦,,2025-12-19,☗,渡辺明,■,□,増田康宏,☖,
84,順位戦,A級,7回戦,,2026-01-13,☗,近藤誠也,☆,★,増田康宏,☖,
84,順位戦,A級,7回戦,,2026-01-14,☗,千田翔太,★,☆,佐々木勇気,☖,
84,順位戦,A級,7回戦,,2026-01-15,☗,中村太地,★,☆,佐藤天彦,☖,
84,順位戦,A級,7回戦,,2026-01-16,☗,永瀬拓矢,☆,★,豊島将之,☖,
84,順位戦,A級,7回戦,,2026-01-16,☗,渡辺明,■,□,糸谷哲郎,☖,
84,順位戦,A級,8回戦,,2026-01-27,☗,糸谷哲郎,☆,★,永瀬拓矢,☖,
84,順位戦,A級,8回戦,,2026-01-27,☗,増田康宏,★,☆,千田翔太,☖,
84,順位戦,A級,8回戦,,2026-01-27,☗,佐藤天彦,★,☆,近藤誠也,☖,
84,順位戦,A級,8回戦,,2026-01-27,☗,佐々木勇気,☆,★,中村太地,☖,
84,順位戦,A級,8回戦,,2026-01-27,☗,渡辺明,■,□,豊島将之,☖,
84,順位戦,A級,9回戦,,2026-02-26,☗,永瀬拓矢,★,☆,佐藤天彦,☖,
84,順位戦,A級,9回戦,,2026-02-26,☗,豊島将之,☆,★,佐々木勇気,☖,
84,順位戦,A級,9回戦,,2026-02-26,☗,近藤誠也,☆,★,糸谷哲郎,☖,
84,順位戦,A級,9回戦,,2026-02-26,☗,中村太地,★,☆,増田康宏,☖,
84,順位戦,A級,9回戦,,2026-02-26,☗,千田翔太,□,■,渡辺明,☖,
84,順位戦,A級,プレーオフ,,2026-03-02,☗,糸谷哲郎,☆,★,永瀬拓矢,☖,
84,順位戦,B級1組,1回戦,,2025-06-12,☗,佐藤康光,☆,★,服部慎一郎,☖,
84,順位戦,B級1組,1回戦,,2025-06-12,☗,石井健太郎,★,☆,大石直嗣,☖,
84,順位戦,B級1組,1回戦,,2025-06-12,☗,澤田真吾,☆,★,青嶋未来,☖,
84,順位戦,B級1組,1回戦,,2025-06-12,☗,大橋貴洸,☆,★,高見泰地,☖,
84,順位戦,B級1組,1回戦,,2025-06-19,☗,伊藤匠,☆,★,菅井竜也,☖,千日手
84,順位戦,B級1組,1回戦,,2025-06-25,☗,稲葉陽,☆,★,斎藤慎太郎,☖,
84,順位戦,B級1組,2回戦,,2025-07-10,☗,伊藤匠,☆,★,佐藤康光,☖,
84,順位戦,B級1組,2回戦,,2025-07-10,☗,青嶋未来,☆,★,石井健太郎,☖,
84,順位戦,B級1組,2回戦,,2025-07-10,☗,大石直嗣,★,☆,菅井竜也,☖,
84,順位戦,B級1組,2回戦,,2025-07-10,☗,広瀬章人,☆,★,稲葉陽,☖,
84,順位戦,B級1組,2回戦,,2025-07-10,☗,服部慎一郎,☆,★,澤田真吾,☖,
84,順位戦,B級1組,2回戦,,2025-07-10,☗,斎藤慎太郎,☆,★,大橋貴洸,☖,
84,順位戦,B級1組,3回戦,,2025-07-31,☗,大石直嗣,☆,★,佐藤康光,☖,
84,順位戦,B級1組,3回戦,,2025-07-31,☗,菅井竜也,★,☆,青嶋未来,☖,
84,順位戦,B級1組,3回戦,,2025-07-31,☗,高見泰地,★,☆,服部慎一郎,☖,
84,順位戦,B級1組,3回戦,,2025-07-31,☗,伊藤匠,☆,★,稲葉陽,☖,
84,順位戦,B級1組,3回戦,,2025-07-31,☗,斎藤慎太郎,★,☆,広瀬章人,☖,
84,順位戦,B級1組,3回戦,,2025-07-31,☗,澤田真吾,☆,★,石井健太郎,☖,
84,順位戦,B級1組,4回戦,,2025-08-21,☗,石井健太郎,★,☆,伊藤匠,☖,
84,順位戦,B級1組,4回戦,,2025-08-21,☗,広瀬章人,★,☆,大石直嗣,☖,
84,順位戦,B級1組,4回戦,,2025-08-21,☗,青嶋未来,★,☆,大橋貴洸,☖,
84,順位戦,B級1組,4回戦,,2025-08-21,☗,服部慎一郎,☆,★,菅井竜也,☖,
84,順位戦,B級1組,4回戦,,2025-08-21,☗,高見泰地,★,☆,斎藤慎太郎,☖,
84,順位戦,B級1組,4回戦,,2025-08-21,☗,佐藤康光,☆,★,澤田真吾,☖,
84,順位戦,B級1組,5回戦,,2025-09-11,☗,伊藤匠,★,☆,広瀬章人,☖,
84,順位戦,B級1組,5回戦,,2025-09-11,☗,稲葉陽,☆,★,高見泰地,☖,
84,順位戦,B級1組,5回戦,,2025-09-11,☗,菅井竜也,☆,★,佐藤康光,☖,
84,順位戦,B級1組,5回戦,,2025-09-11,☗,大橋貴洸,☆,★,大石直嗣,☖,
84,順位戦,B級1組,5回戦,,2025-09-11,☗,青嶋未来,★,☆,服部慎一郎,☖,
84,順位戦,B級1組,5回戦,,2025-09-11,☗,斎藤慎太郎,☆,★,石井健太郎,☖,
84,順位戦,B級1組,6回戦,,2025-10-02,☗,高見泰地,☆,★,佐藤康光,☖,
84,順位戦,B級1組,6回戦,,2025-10-02,☗,大石直嗣,★,☆,伊藤匠,☖,
84,順位戦,B級1組,6回戦,,2025-10-02,☗,服部慎一郎,★,☆,斎藤慎太郎,☖,
84,順位戦,B級1組,6回戦,,2025-10-02,☗,大橋貴洸,☆,★,澤田真吾,☖,
84,順位戦,B級1組,6回戦,,2025-10-02,☗,広瀬章人,☆,★,菅井竜也,☖,
84,順位戦,B級1組,6回戦,,2025-10-02,☗,稲葉陽,★,☆,青嶋未来,☖,
84,順位戦,B級1組,7回戦,,2025-10-16,☗,斎藤慎太郎,★,☆,伊藤匠,☖,
84,順位戦,B級1組,7回戦,,2025-10-16,☗,青嶋未来,★,☆,広瀬章人,☖,
84,順位戦,B級1組,7回戦,,2025-10-16,☗,石井健太郎,★,☆,大橋貴洸,☖,
84,順位戦,B級1組,7回戦,,2025-10-16,☗,菅井竜也,☆,★,稲葉陽,☖,
84,順位戦,B級1組,7回戦,,2025-10-16,☗,服部慎一郎,☆,★,大石直嗣,☖,
84,順位戦,B級1組,7回戦,,2025-10-16,☗,澤田真吾,☆,★,高見泰地,☖,
84,順位戦,B級1組,8回戦,,2025-11-06,☗,佐藤康光,★,☆,広瀬章人,☖,
84,順位戦,B級1組,8回戦,,2025-11-06,☗,青嶋未来,★,☆,高見泰地,☖,千日手
84,順位戦,B級1組,8回戦,,2025-11-06,☗,伊藤匠,☆,★,大橋貴洸,☖,
84,順位戦,B級1組,8回戦,,2025-11-06,☗,稲葉陽,★,☆,服部慎一郎,☖,
84,順位戦,B級1組,8回戦,,2025-11-06,☗,石井健太郎,☆,★,菅井竜也,☖,
84,順位戦,B級1組,8回戦,,2025-11-06,☗,斎藤慎太郎,★,☆,澤田真吾,☖,
84,順位戦,B級1組,9回戦,,2025-11-27,☗,伊藤匠,☆,★,青嶋未来,☖,
84,順位戦,B級1組,9回戦,,2025-11-27,☗,大橋貴洸,☆,★,佐藤康光,☖,
84,順位戦,B級1組,9回戦,,2025-11-27,☗,広瀬章人,☆,★,高見泰地,☖,
84,順位戦,B級1組,9回戦,,2025-11-27,☗,稲葉陽,★,☆,石井健太郎,☖,
84,順位戦,B級1組,9回戦,,2025-11-27,☗,大石直嗣,★,☆,斎藤慎太郎,☖,
84,順位戦,B級1組,9回戦,,2025-11-27,☗,菅井竜也,☆,★,澤田真吾,☖,
84,順位戦,B級1組,10回戦,,2025-12-18,☗,石井健太郎,★,☆,広瀬章人,☖,
84,順位戦,B級1組,10回戦,,2025-12-18,☗,青嶋未来,★,☆,斎藤慎太郎,☖,
84,順位戦,B級1組,10回戦,,2025-12-18,☗,佐藤康光,☆,★,稲葉陽,☖,
84,順位戦,B級1組,10回戦,,2025-12-18,☗,高見泰地,☆,★,菅井竜也,☖,
84,順位戦,B級1組,10回戦,,2025-12-18,☗,大橋貴洸,☆,★,服部慎一郎,☖,
84,順位戦,B級1組,10回戦,,2025-12-18,☗,澤田真吾,☆,★,大石直嗣,☖,
84,順位戦,B級1組,11回戦,,2026-01-15,☗,佐藤康光,☆,★,石井健太郎,☖,
84,順位戦,B級1組,11回戦,,2026-01-15,☗,大石直嗣,☆,★,高見泰地,☖,
84,順位戦,B級1組,11回戦,,2026-01-15,☗,菅井竜也,★,☆,斎藤慎太郎,☖,千日手
84,順位戦,B級1組,11回戦,,2026-01-15,☗,服部慎一郎,☆,★,伊藤匠,☖,
84,順位戦,B級1組,11回戦,,2026-01-15,☗,広瀬章人,☆,★,大橋貴洸,☖,
84,順位戦,B級1組,11回戦,,2026-01-15,☗,澤田真吾,☆,★,稲葉陽,☖,
84,順位戦,B級1組,12回戦,,2026-02-05,☗,伊藤匠,☆,★,高見泰地,☖,
84,順位戦,B級1組,12回戦,,2026-02-05,☗,青嶋未来,☆,★,佐藤康光,☖,
84,順位戦,B級1組,12回戦,,2026-02-05,☗,広瀬章人,☆,★,澤田真吾,☖,
84,順位戦,B級1組,12回戦,,2026-02-05,☗,稲葉陽,☆,★,大石直嗣,☖,
84,順位戦,B級1組,12回戦,,2026-02-05,☗,菅井竜也,★,☆,大橋貴洸,☖,
84,順位戦,B級1組,12回戦,,2026-02-05,☗,石井健太郎,★,☆,服部慎一郎,☖,
84,順位戦,B級1組,13回戦,,2026-03-05,☗,澤田真吾,★,☆,伊藤匠,☖,
84,順位戦,B級1組,13回戦,,2026-03-05,☗,服部慎一郎,★,☆,広瀬章人,☖,
84,順位戦,B級1組,13回戦,,2026-03-05,☗,石井健太郎,☆,★,高見泰地,☖,
84,順位戦,B級1組,13回戦,,2026-03-05,☗,佐藤康光,★,☆,斎藤慎太郎,☖,
84,順位戦,B級1組,13回戦,,2026-03-05,☗,大橋貴洸,★,☆,稲葉陽,☖,
84,順位戦,B級1組,13回戦,,2026-03-05,☗,大石直嗣,☆,★,青嶋未来,☖,
84,順位戦,B級2組,1回戦,,2025-06-18,☗,羽生善治,☆,★,斎藤明日斗,☖,
84,順位戦,B級2組,1回戦,,2025-06-18,☗,丸山忠久,☆,★,藤井猛,☖,
84,順位戦,B級2組,1回戦,,2025-06-18,☗,深浦康市,★,☆,郷田真隆,☖,
84,順位戦,B級2組,1回戦,,2025-06-18,☗,三浦弘行,☆,★,松尾歩,☖,千日手
84,順位戦,B級2組,1回戦,,2025-06-18,☗,行方尚史,☆,★,木村一基,☖,
84,順位戦,B級2組,1回戦,,2025-06-18,☗,戸辺誠,☆,★,鈴木大介,☖,
84,順位戦,B級2組,1回戦,,2025-06-18,☗,渡辺和史,★,☆,阿久津主税,☖,
84,順位戦,B級2組,1回戦,,2025-06-18,☗,横山泰明,☆,★,佐藤和俊,☖,
84,順位戦,B級2組,1回戦,,2025-06-18,☗,谷川浩司,☆,★,北浜健介,☖,
84,順位戦,B級2組,1回戦,,2025-06-18,☗,屋敷伸之,★,☆,藤本渚,☖,
84,順位戦,B級2組,1回戦,,2025-06-18,☗,佐々木慎,★,☆,久保利明,☖,
84,順位戦,B級2組,1回戦,,2025-06-18,☗,古賀悠聖,★,☆,山崎隆之,☖,
84,順位戦,B級2組,1回戦,,2025-06-18,☗,及川拓馬,★,☆,村山慈明,☖,
84,順位戦,B級2組,2回戦,,2025-07-04,☗,木村一基,☆,★,松尾歩,☖,
84,順位戦,B級2組,2回戦,,2025-07-09,☗,三浦弘行,★,☆,羽生善治,☖,
84,順位戦,B級2組,2回戦,,2025-07-09,☗,鈴木大介,☆,★,丸山忠久,☖,
84,順位戦,B級2組,2回戦,,2025-07-09,☗,郷田真隆,☆,★,戸辺誠,☖,
84,順位戦,B級2組,2回戦,,2025-07-09,☗,藤井猛,★,☆,深浦康市,☖,
84,順位戦,B級2組,2回戦,,2025-07-09,☗,斎藤明日斗,☆,★,横山泰明,☖,
84,順位戦,B級2組,2回戦,,2025-07-09,☗,佐藤和俊,★,☆,渡辺和史,☖,
84,順位戦,B級2組,2回戦,,2025-07-09,☗,村山慈明,☆,★,谷川浩司,☖,
84,順位戦,B級2組,2回戦,,2025-07-09,☗,山崎隆之,☆,★,屋敷伸之,☖,
84,順位戦,B級2組,2回戦,,2025-07-09,☗,久保利明,☆,★,行方尚史,☖,
84,順位戦,B級2組,2回戦,,2025-07-09,☗,藤本渚,★,☆,及川拓馬,☖,
84,順位戦,B級2組,2回戦,,2025-07-09,☗,北浜健介,★,☆,佐々木慎,☖,
84,順位戦,B級2組,2回戦,,2025-07-09,☗,阿久津主税,★,☆,古賀悠聖,☖,
84,順位戦,B級2組,3回戦,,2025-07-30,☗,屋敷伸之,☆,★,三浦弘行,☖,
84,順位戦,B級2組,3回戦,,2025-07-30,☗,丸山忠久,☆,★,郷田真隆,☖,
84,順位戦,B級2組,3回戦,,2025-07-30,☗,佐々木慎,★,☆,鈴木大介,☖,
84,順位戦,B級2組,3回戦,,2025-07-30,☗,木村一基,★,☆,斎藤明日斗,☖,
84,順位戦,B級2組,3回戦,,2025-07-30,☗,及川拓馬,★,☆,横山泰明,☖,
84,順位戦,B級2組,3回戦,,2025-07-30,☗,渡辺和史,★,☆,戸辺誠,☖,
84,順位戦,B級2組,3回戦,,2025-07-30,☗,谷川浩司,★,☆,松尾歩,☖,
84,順位戦,B級2組,3回戦,,2025-07-30,☗,北浜健介,★,☆,藤井猛,☖,
84,順位戦,B級2組,3回戦,,2025-07-30,☗,阿久津主税,☆,★,山崎隆之,☖,
84,順位戦,B級2組,3回戦,,2025-07-30,☗,古賀悠聖,☆,★,佐藤和俊,☖,
84,順位戦,B級2組,3回戦,,2025-07-30,☗,羽生善治,★,☆,藤本渚,☖,
84,順位戦,B級2組,3回戦,,2025-07-30,☗,久保利明,☆,★,深浦康市,☖,
84,順位戦,B級2組,3回戦,,2025-07-30,☗,行方尚史,★,☆,村山慈明,☖,
84,順位戦,B級2組,4回戦,,2025-08-20,☗,羽生善治,☆,★,木村一基,☖,
84,順位戦,B級2組,4回戦,,2025-08-20,☗,斎藤明日斗,☆,★,屋敷伸之,☖,
84,順位戦,B級2組,4回戦,,2025-08-20,☗,村山慈明,☆,★,丸山忠久,☖,
84,順位戦,B級2組,4回戦,,2025-08-20,☗,行方尚史,☆,★,郷田真隆,☖,
84,順位戦,B級2組,4回戦,,2025-08-20,☗,深浦康市,☆,★,及川拓馬,☖,
84,順位戦,B級2組,4回戦,,2025-08-20,☗,佐藤和俊,☆,★,阿久津主税,☖,
84,順位戦,B級2組,4回戦,,2025-08-20,☗,横山泰明,★,☆,渡辺和史,☖,
84,順位戦,B級2組,4回戦,,2025-08-20,☗,谷川浩司,☆,★,佐々木慎,☖,
84,順位戦,B級2組,4回戦,,2025-08-20,☗,藤本渚,★,☆,藤井猛,☖,
84,順位戦,B級2組,4回戦,,2025-08-20,☗,三浦弘行,☆,★,古賀悠聖,☖,
84,順位戦,B級2組,4回戦,,2025-08-20,☗,松尾歩,★,☆,山崎隆之,☖,
84,順位戦,B級2組,4回戦,,2025-08-20,☗,戸辺誠,☆,★,北浜健介,☖,
84,順位戦,B級2組,4回戦,,2025-08-20,☗,久保利明,☆,★,鈴木大介,☖,
84,順位戦,B級2組,5回戦,,2025-10-15,☗,阿久津主税,☆,★,谷川浩司,☖,
84,順位戦,B級2組,5回戦,,2025-10-15,☗,深浦康市,☆,★,羽生善治,☖,
84,順位戦,B級2組,5回戦,,2025-10-15,☗,屋敷伸之,☆,★,鈴木大介,☖,
84,順位戦,B級2組,5回戦,,2025-10-15,☗,郷田真隆,☆,★,及川拓馬,☖,
84,順位戦,B級2組,5回戦,,2025-10-15,☗,藤井猛,★,☆,古賀悠聖,☖,
84,順位戦,B級2組,5回戦,,2025-10-15,☗,三浦弘行,★,☆,斎藤明日斗,☖,
84,順位戦,B級2組,5回戦,,2025-10-15,☗,戸辺誠,☆,★,行方尚史,☖,
84,順位戦,B級2組,5回戦,,2025-10-15,☗,佐々木慎,☆,★,松尾歩,☖,
84,順位戦,B級2組,5回戦,,2025-10-15,☗,丸山忠久,☆,★,北浜健介,☖,千日手
84,順位戦,B級2組,5回戦,,2025-10-15,☗,佐藤和俊,★,☆,久保利明,☖,
84,順位戦,B級2組,5回戦,,2025-10-15,☗,木村一基,★,☆,藤本渚,☖,
84,順位戦,B級2組,5回戦,,2025-10-15,☗,村山慈明,★,☆,渡辺和史,☖,
84,順位戦,B級2組,5回戦,,2025-10-15,☗,山崎隆之,☆,★,横山泰明,☖,
84,順位戦,B級2組,6回戦,,2025-11-05,☗,屋敷伸之,★,☆,佐藤和俊,☖,
84,順位戦,B級2組,6回戦,,2025-11-05,☗,丸山忠久,☆,★,阿久津主税,☖,
84,順位戦,B級2組,6回戦,,2025-11-05,☗,藤井猛,☆,★,戸辺誠,☖,
84,順位戦,B級2組,6回戦,,2025-11-05,☗,松尾歩,☆,★,深浦康市,☖,
84,順位戦,B級2組,6回戦,,2025-11-05,☗,及川拓馬,☆,★,行方尚史,☖,
84,順位戦,B級2組,6回戦,,2025-11-05,☗,鈴木大介,★,☆,横山泰明,☖,
84,順位戦,B級2組,6回戦,,2025-11-05,☗,渡辺和史,☆,★,木村一基,☖,
84,順位戦,B級2組,6回戦,,2025-11-05,☗,佐々木慎,★,☆,斎藤明日斗,☖,千日手
84,順位戦,B級2組,6回戦,,2025-11-05,☗,久保利明,☆,★,谷川浩司,☖,
84,順位戦,B級2組,6回戦,,2025-11-05,☗,古賀悠聖,☆,★,羽生善治,☖,
84,順位戦,B級2組,6回戦,,2025-11-05,☗,藤本渚,☆,★,三浦弘行,☖,
84,順位戦,B級2組,6回戦,,2025-11-05,☗,山崎隆之,☆,★,村山慈明,☖,
84,順位戦,B級2組,6回戦,,2025-11-05,☗,郷田真隆,☆,★,北浜健介,☖,
84,順位戦,B級2組,7回戦,,2025-12-10,☗,及川拓馬,☆,★,屋敷伸之,☖,
84,順位戦,B級2組,7回戦,,2025-12-10,☗,鈴木大介,☆,★,郷田真隆,☖,
84,順位戦,B級2組,7回戦,,2025-12-10,☗,木村一基,★,☆,藤井猛,☖,
84,順位戦,B級2組,7回戦,,2025-12-10,☗,深浦康市,★,☆,渡辺和史,☖,
84,順位戦,B級2組,7回戦,,2025-12-10,☗,三浦弘行,☆,★,阿久津主税,☖,
84,順位戦,B級2組,7回戦,,2025-12-10,☗,行方尚史,☆,★,佐藤和俊,☖,
84,順位戦,B級2組,7回戦,,2025-12-10,☗,横山泰明,☆,★,佐々木慎,☖,
84,順位戦,B級2組,7回戦,,2025-12-10,☗,羽生善治,☆,★,村山慈明,☖,
84,順位戦,B級2組,7回戦,,2025-12-10,☗,北浜健介,★,☆,久保利明,☖,
84,順位戦,B級2組,7回戦,,2025-12-10,☗,戸辺誠,☆,★,古賀悠聖,☖,
84,順位戦,B級2組,7回戦,,2025-12-10,☗,谷川浩司,☆,★,丸山忠久,☖,
84,順位戦,B級2組,7回戦,,2025-12-10,☗,斎藤明日斗,★,☆,山崎隆之,☖,
84,順位戦,B級2組,7回戦,,2025-12-10,☗,松尾歩,★,☆,藤本渚,☖,
84,順位戦,B級2組,8回戦,,2026-01-14,☗,佐藤和俊,★,☆,羽生善治,☖,
84,順位戦,B級2組,8回戦,,2026-01-14,☗,佐々木慎,☆,★,屋敷伸之,☖,
84,順位戦,B級2組,8回戦,,2026-01-14,☗,丸山忠久,☆,★,深浦康市,☖,
84,順位戦,B級2組,8回戦,,2026-01-14,☗,郷田真隆,★,☆,斎藤明日斗,☖,
84,順位戦,B級2組,8回戦,,2026-01-14,☗,久保利明,☆,★,戸辺誠,☖,
84,順位戦,B級2組,8回戦,,2026-01-14,☗,阿久津主税,☆,★,鈴木大介,☖,
84,順位戦,B級2組,8回戦,,2026-01-14,☗,横山泰明,★,☆,松尾歩,☖,
84,順位戦,B級2組,8回戦,,2026-01-14,☗,藤井猛,★,☆,谷川浩司,☖,
84,順位戦,B級2組,8回戦,,2026-01-14,☗,藤本渚,☆,★,行方尚史,☖,
84,順位戦,B級2組,8回戦,,2026-01-14,☗,山崎隆之,☆,★,三浦弘行,☖,
84,順位戦,B級2組,8回戦,,2026-01-14,☗,村山慈明,☆,★,木村一基,☖,
84,順位戦,B級2組,8回戦,,2026-01-14,☗,渡辺和史,★,☆,北浜健介,☖,
84,順位戦,B級2組,8回戦,,2026-01-14,☗,古賀悠聖,☆,★,及川拓馬,☖,
84,順位戦,B級2組,9回戦,,2026-02-04,☗,羽生善治,☆,★,鈴木大介,☖,
84,順位戦,B級2組,9回戦,,2026-02-04,☗,丸山忠久,☆,★,及川拓馬,☖,
84,順位戦,B級2組,9回戦,,2026-02-04,☗,松尾歩,☆,★,藤井猛,☖,
84,順位戦,B級2組,9回戦,,2026-02-04,☗,佐藤和俊,★,☆,深浦康市,☖,
84,順位戦,B級2組,9回戦,,2026-02-04,☗,佐々木慎,☆,★,三浦弘行,☖,
84,順位戦,B級2組,9回戦,,2026-02-04,☗,阿久津主税,☆,★,行方尚史,☖,
84,順位戦,B級2組,9回戦,,2026-02-04,☗,木村一基,★,☆,横山泰明,☖,
84,順位戦,B級2組,9回戦,,2026-02-04,☗,斎藤明日斗,★,☆,渡辺和史,☖,
84,順位戦,B級2組,9回戦,,2026-02-04,☗,郷田真隆,★,☆,山崎隆之,☖,
84,順位戦,B級2組,9回戦,,2026-02-04,☗,久保利明,☆,★,古賀悠聖,☖,
84,順位戦,B級2組,9回戦,,2026-02-04,☗,北浜健介,★,☆,村山慈明,☖,
84,順位戦,B級2組,9回戦,,2026-02-04,☗,屋敷伸之,★,☆,谷川浩司,☖,
84,順位戦,B級2組,9回戦,,2026-02-04,☗,戸辺誠,★,☆,藤本渚,☖,
84,順位戦,B級2組,10回戦,,2026-03-04,☗,藤井猛,★,☆,羽生善治,☖,
84,順位戦,B級2組,10回戦,,2026-03-04,☗,行方尚史,☆,★,屋敷伸之,☖,
84,順位戦,B級2組,10回戦,,2026-03-04,☗,三浦弘行,☆,★,郷田真隆,☖,
84,順位戦,B級2組,10回戦,,2026-03-04,☗,深浦康市,☆,★,戸辺誠,☖,
84,順位戦,B級2組,10回戦,,2026-03-04,☗,鈴木大介,☆,★,斎藤明日斗,☖,
84,順位戦,B級2組,10回戦,,2026-03-04,☗,渡辺和史,★,☆,松尾歩,☖,
