period,match,phase,detail,notes,game_date,A,player_A,a,b,player_B,B,others
85,順位戦,A級,1回戦,,2026-06-11,☗,永瀬拓矢,☆,★,近藤誠也,☖,
85,順位戦,A級,1回戦,,2026-06-17,☗,糸谷哲郎,★,☆,広瀬章人,☖,
85,順位戦,A級,1回戦,,2026-06-17,☗,増田康宏,☆,★,千田翔太,☖,
85,順位戦,A級,1回戦,,2026-06-18,☗,佐々木勇気,☆,★,伊藤匠,☖,
85,順位戦,A級,1回戦,,2026-06-19,☖,豊島将之,☆,★,佐藤天彦,☗,
85,順位戦,B級1組,1回戦,,2026-06-18,☖,中村太地,★,☆,山崎隆之,☗,
85,順位戦,B級1組,1回戦,,2026-06-18,☗,渡辺明,☆,★,稲葉陽,☖,
85,順位戦,B級1組,1回戦,,2026-06-18,☗,大橋貴洸,☆,★,澤田真吾,☖,
85,順位戦,B級1組,1回戦,,2026-06-18,☗,斎藤慎太郎,☆,★,大石直嗣,☖,
85,順位戦,B級1組,1回戦,,2026-06-18,☗,菅井竜也,☆,★,佐藤康光,☖,
85,順位戦,B級1組,1回戦,,2026-06-25,☗,服部慎一郎,☆,★,藤本渚,☖,
85,順位戦,B級2組,1回戦,,2026-06-17,☗,石井健太郎,☆,★,行方尚史,☖,
85,順位戦,B級2組,1回戦,,2026-06-17,☗,高見泰地,★,☆,三浦弘行,☖,
85,順位戦,B級2組,1回戦,,2026-06-17,☗,羽生善治,★,☆,西田拓也,☖,
85,順位戦,B級2組,1回戦,,2026-06-17,☗,村山慈明,☆,★,深浦康市,☖,
85,順位戦,B級2組,1回戦,,2026-06-17,☗,丸山忠久,☆,★,横山泰明,☖,
85,順位戦,B級2組,1回戦,,2026-06-17,☗,古賀悠聖,★,☆,屋敷伸之,☖,
85,順位戦,B級2組,1回戦,,2026-06-17,☗,谷川浩司,★,☆,戸辺誠,☖,
85,順位戦,B級2組,1回戦,,2026-06-17,☗,斎藤明日斗,☆,★,佐藤和俊,☖,
85,順位戦,B級2組,1回戦,,2026-06-17,☗,渡辺和史,★,☆,及川拓馬,☖,
85,順位戦,B級2組,1回戦,,2026-06-17,☗,郷田真隆,☆,★,松尾歩,☖,
85,順位戦,B級2組,1回戦,,2026-06-17,☗,佐々木慎,★,☆,青嶋未来,☖,
85,順位戦,B級2組,1回戦,,2026-06-17,☗,都成竜馬,★,☆,岡部怜央,☖,
85,順位戦,B級2組,1回戦,,2026-06-17,☗,木村一基,★,☆,北浜健介,☖,
85,順位戦,C級1組,1回戦,,2026-06-16,☗,藤井猛,★,☆,三枚堂達也,☖,
85,順位戦,C級1組,1回戦,,2026-06-16,☗,杉本昌隆,☆,★,野月浩貴,☖,
85,順位戦,C級1組,1回戦,,2026-06-16,☗,冨田誠也,☆,★,高﨑一生,☖,
85,順位戦,C級1組,1回戦,,2026-06-16,☗,高田明浩,★,☆,村田顕弘,☖,
85,順位戦,C級1組,1回戦,,2026-06-16,☗,飯塚祐紀,★,☆,宮本広志,☖,
85,順位戦,C級1組,1回戦,,2026-06-16,☗,黒田尭之,☆,★,先崎学,☖,
85,順位戦,C級1組,1回戦,,2026-06-16,☗,片上大輔,★,☆,高野智史,☖,
85,順位戦,C級1組,1回戦,,2026-06-16,☗,門倉啓太,★,☆,池永天志,☖,
85,順位戦,C級1組,1回戦,,2026-06-16,☗,宮田敦史,★,☆,飯島栄治,☖,
85,順位戦,C級1組,1回戦,,2026-06-16,☗,黒沢怜生,★,☆,上野裕寿,☖,
85,順位戦,C級1組,1回戦,,2026-06-16,☗,佐々木大地,☆,★,古森悠太,☖,
